rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:2Gq636OOGgxCTqEuzCZhsa,Bizarrap /  Tiago PZK,Tiago PZK: Bzrp Music Sessions /  Vol. 48,DALE PLAY Records,1,54,2,3165700,1,2022
2,spotify:track:0lJE8f0lx8mUSfMyxeYpiC,TINI /  L-Gante,Bar,Sony Music Latin,1,1,8,2809466,1,2022
3,spotify:track:5fBQLapwAPSLw27STml9kr,Salastkbron,TITAN,WM Argentina,2,2,6,2628944,1,2022
4,spotify:track:6P096SaOzrgGxs8NWOfX7M,Tiago PZK /  Trueno,Salimo de Noche,WM Chile,1,3,11,2284377,1,2022
5,spotify:track:1kjs5eR4DMzyB0gm1Z8waV,Trueno,DANCE CRIP,©️ Ⓟ 2022 Sur Capital Records (por Tierra Agencia),3,4,7,2132451,1,2022
1,spotify:track:2Gq636OOGgxCTqEuzCZhsa,Bizarrap /  Tiago PZK,Tiago PZK: Bzrp Music Sessions /  Vol. 48,DALE PLAY Records,1,1,7,2607531,2,2022
2,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,Rauw Alejandro /  Chencho Corleone,Desesperados,Sony Music Latin/Duars Entertainment,2,3,9,2464225,2,2022
3,spotify:track:5NMPnWUDvXr8Vnauv7I7YZ,FMK /  Maria Becerra,Tranquila,Columbia,3,4,4,2261665,2,2022
4,spotify:track:4TGwERXRlyQtBdggYTHo6j,Tiago PZK /  LIT killah /  Maria Becerra /  Nicki Nicole,Entre Nosotros (Remix) [con Nicki Nicole],WEA Latina,1,2,6,2259476,2,2022
5,spotify:track:7JZ5mOTea5T4LH0UdwCsWx,Duki,TOP 5,DALE PLAY Records / SSJ Records,3,6,11,2033029,2,2022
1,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,Rauw Alejandro /  Chencho Corleone,Desesperados,Sony Music Latin/Duars Entertainment,1,1,13,2213480,3,2022
2,spotify:track:2dG9k8jtnkjzJjUToz9i9i,Bizarrap /  Residente,Residente: Bzrp Music Sessions /  Vol. 49,DALE PLAY Records,2,-1,1,2196853,3,2022
3,spotify:track:1uK5rDY3BnikyG0sl3tPpc,Sofía Reyes /  Maria Becerra,Marte,WEA Latina,3,4,4,2070046,3,2022
