rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,1,7,21,1421140,1,2022
2,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,6,26,1379194,1,2022
3,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,8,75,1247824,1,2022
4,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,4,9,8,1146363,1,2022
5,spotify:track:20on25jryn53hWghthWWW3,ACRAZE /  Cherish,Do It To It,"Thrive Music, LLC",5,18,10,1025274,1,2022
1,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,1,31,1269944,2,2022
2,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,2,80,1191367,2,2022
3,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,1,3,26,1153162,2,2022
4,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,4,4,13,1032580,2,2022
5,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán /  Mauro Castillo /  Adassa /  Rhenzy Feliz /  Diane Guerrero /  Stephanie Beatriz /  Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,5,6,7,984626,2,2022
1,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,1,84,1107313,3,2022
2,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,2,35,1048442,3,2022
3,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,1,3,30,932922,3,2022
4,spotify:track:3uUuGVFu1V7jTQL60S1r8z,Lost Frequencies /  Calum Scott,Where Are You Now,Epic Amsterdam,4,4,23,862072,3,2022
5,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,4,5,17,793127,3,2022
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,-1,1,2806828,4,2022
2,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,1,88,1066604,4,2022
3,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,2,39,954218,4,2022
4,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,1,3,34,841193,4,2022
5,spotify:track:531KGXtBroSrOX9LVmiIgc,Dave,Starlight,Dave / Neighbourhood Recordings,4,4,5,838437,4,2022
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,6,1870905,5,2022
2,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,1,2,5,1858953,5,2022
3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,3,8,2,1310806,5,2022
4,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,3,93,954455,5,2022
5,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,THOUSAND MILES,Columbia,3,4,3,933499,5,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,2,2,2260168,6,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,10,1775193,6,2022
3,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,1,3,9,1233575,6,2022
4,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,3,5,6,1113160,6,2022
5,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,THOUSAND MILES,Columbia,3,6,7,1076420,6,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,2,6,1748963,7,2022
2,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music,1,1,4,1461914,7,2022
3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,14,1316109,7,2022
4,spotify:track:0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Kemosabe Records/RCA Records,4,4,8,1054299,7,2022
5,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,8,101,909627,7,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,1,11,1237661,8,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,2,19,1211567,8,2022
3,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,3,3,5,1148125,8,2022
4,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,4,6,10,1043035,8,2022
5,spotify:track:3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Central Cee,4,4,3,984461,8,2022
1,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,1,2,14,1364903,9,2022
2,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,1,1,4,1288469,9,2022
3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,23,1214968,9,2022
4,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,4,26,2,1173124,9,2022
5,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,1,4,9,1099061,9,2022
1,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,1,2,2063655,10,2022
2,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,2,2,6,1428468,10,2022
3,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,1,3,18,1386684,10,2022
4,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,1,6,13,1160297,10,2022
5,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,1,4,8,1102321,10,2022
1,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,1,3,2182602,11,2022
2,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake /  21 Savage,Rich Flex,OVO / Republic Records,2,-1,1,1907901,11,2022
3,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,2,7,1855949,11,2022
4,spotify:track:2KLwPaRDOB87XOYAT2fgxh,Drake /  21 Savage /  Travis Scott,Pussy & Millions (feat. Travis Scott),OVO / Republic Records,4,-1,1,1369704,11,2022
5,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,1,4,23,1303273,11,2022
1,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,1,11,1431769,12,2022
2,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,2,7,1345226,12,2022
