rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Xamã /  Gustah /  Neo Beats /  Bagua Records,Malvadão 3,Bagua Records,1,5,5,10076114,1,2022
2,spotify:track:1c4htMHiolERc0YJvZNdlc,George Henrique & Rodrigo /  Marília Mendonça,Vai Lá Em Casa Hoje - Ao Vivo,Worldshow Promoções e Eventos,1,1,11,7746327,1,2022
3,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Zé Felipe /  Mc Danny,Toma Toma Vapo Vapo,Som Livre,3,3,8,7298027,1,2022
4,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Marília Mendonça /  Maiara & Maraisa,Esqueça-Me Se For Capaz,Som Livre,1,2,12,6880947,1,2022
5,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Henrique & Juliano,Arranhão - Ao Vivo,Virgin Music Label And Artist Services (S&D),1,4,22,6178515,1,2022
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Xamã /  Gustah /  Neo Beats /  Bagua Records,Malvadão 3,Bagua Records,1,1,10,8614652,2,2022
2,spotify:track:5719MEdRQcH4c3phXqX7WN,Hugo & Guilherme /  Marília Mendonça,Mal Feito - Ao Vivo,Som Livre,2,3,4,6856030,2,2022
3,spotify:track:3QGxgNaqaFSpORp2OVLXHR,Chefin /  Mainstreet,212,Mainstreet Records,2,2,4,6590945,2,2022
4,spotify:track:1c4htMHiolERc0YJvZNdlc,George Henrique & Rodrigo /  Marília Mendonça,Vai Lá Em Casa Hoje - Ao Vivo,Worldshow Promoções e Eventos,1,4,16,6114006,2,2022
5,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Zé Felipe,Malvada,Som Livre,5,16,2,5837632,2,2022
1,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,PEDRO SAMPAIO /  Mc Pedrinho,DANÇARINA,WM Brazil,1,1,5,8313528,3,2022
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Xamã /  Gustah /  Neo Beats /  Bagua Records,Malvadão 3,Bagua Records,1,2,14,6891022,3,2022
3,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Zé Felipe,Malvada,Som Livre,2,3,6,6418124,3,2022
4,spotify:track:5719MEdRQcH4c3phXqX7WN,Hugo & Guilherme /  Marília Mendonça,Mal Feito - Ao Vivo,Som Livre,2,4,8,5701079,3,2022
5,spotify:track:3QGxgNaqaFSpORp2OVLXHR,Chefin /  Mainstreet,212,Mainstreet Records,2,7,8,5256327,3,2022
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,Davi Kneip /  Mc Frog /  Dj Gabriel do Borel /  Luísa Sonza,sentaDONA (Remix) s2,Davi Kneip,1,2,3,6887242,4,2022
2,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,PEDRO SAMPAIO /  Mc Pedrinho,DANÇARINA,WM Brazil,1,3,9,6109879,4,2022
3,spotify:track:7afaZ37wJJL6880z1NRgJS,Teto,Fim de Semana no Rio,Sony Music Entertainment,3,-1,1,5790766,4,2022
4,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Anitta,Envolver,WEA Latina,1,1,21,5575223,4,2022
5,spotify:track:5719MEdRQcH4c3phXqX7WN,Hugo & Guilherme /  Marília Mendonça,Mal Feito - Ao Vivo,Som Livre,2,5,12,5091451,4,2022
1,spotify:track:4QWumyD2uwiePBBha9XBHI,Felipe Amorim,No Ouvidinho,One Play,1,1,7,5412038,5,2022
2,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Matuê /  WIU /  Teto,Vampiro,Sony Music Entertainment,1,2,6,5330680,5,2022
3,spotify:track:1K8AtBJXcdq5mywMnZuARP,Gusttavo Lima,Termina Comigo Antes - Ao Vivo,Sony Music Entertainment,3,4,6,5205041,5,2022
4,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,Davi Kneip /  Mc Frog /  Dj Gabriel do Borel /  Luísa Sonza,sentaDONA (Remix) s2,Davi Kneip,1,3,8,5169162,5,2022
5,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,Luan Santana /  Henrique & Juliano,ERRO PLANEJADO - Ao Vivo,Sony Music Entertainment,5,6,4,5045838,5,2022
1,spotify:track:6hFwju6M40CKovKBPu5IpY,Jovem Dionisio,ACORDA PEDRINHO,Jovem Dionisio,1,1,4,5891231,6,2022
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Matheus Fernandes /  Xand Avião,Balanço da Rede,Som Livre,2,2,13,5215908,6,2022
3,spotify:track:4QWumyD2uwiePBBha9XBHI,Felipe Amorim,No Ouvidinho,One Play,1,3,11,4860799,6,2022
4,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,Luan Santana /  Henrique & Juliano,ERRO PLANEJADO - Ao Vivo,Sony Music Entertainment,4,4,8,4492550,6,2022
5,spotify:track:1K8AtBJXcdq5mywMnZuARP,Gusttavo Lima,Termina Comigo Antes - Ao Vivo,Sony Music Entertainment,3,6,10,4488855,6,2022
1,spotify:track:0i4UV3HjjvsUuV3BajEXoD,MC Tairon /  Mc Vitin Da Igrejinha /  Dj Win /  life song,Baile no Morro,ID1642 - Life Song Records,1,12,3,5787423,7,2022
2,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Zé Felipe /  MC Mari,Bandido,Som Livre,1,1,3,5501254,7,2022
3,spotify:track:5vC8UAOHeG95ehRzZChniB,L7NNON /  DJ Biel do Furduncinho /  Bianca,Ai Preto,Papatunes,3,11,4,5456899,7,2022
4,spotify:track:2qmG7dokbGpDGD0T5wORWt,Matheus Fernandes /  Xand Avião,Balanço da Rede,Som Livre,1,2,17,4535243,7,2022
5,spotify:track:4QWumyD2uwiePBBha9XBHI,Felipe Amorim,No Ouvidinho,One Play,1,4,15,4336089,7,2022
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Ana Castela /  Melody /  Dj Chris No Beat,Pipoco,Ana Castela,1,1,11,5555104,8,2022
2,spotify:track:5vC8UAOHeG95ehRzZChniB,L7NNON /  DJ Biel do Furduncinho /  Bianca,Ai Preto,Papatunes,1,3,9,5196161,8,2022
3,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Mc Jacaré /  Dj Tk,Vento Forte,A Chave,3,9,4,4973756,8,2022
4,spotify:track:7KWKWJnbGJ3Soag6Oopion,Luísa Sonza,CACHORRINHAS,Sony Music Entertainment,2,2,4,4460993,8,2022
5,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Guilherme & Benuto /  Hugo & Guilherme,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Sony Music Entertainment,5,8,7,4409247,8,2022
1,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Mc Paiva ZS /  MC Ryan SP /  Kotim,Casei Com a Putaria,Love Funk,1,3,9,5746743,9,2022
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Guilherme & Benuto /  Hugo & Guilherme,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Sony Music Entertainment,2,2,11,5724981,9,2022
3,spotify:track:7AwVSKaQxpidrtYBerkHKk,Ana Castela /  Melody /  Dj Chris No Beat,Pipoco,Ana Castela,1,1,15,5569066,9,2022
4,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,Luan Santana /  Luísa Sonza,CORAÇÃO CIGANO - Ao Vivo,Sony Music Entertainment,3,4,5,4914093,9,2022
5,spotify:track:5vC8UAOHeG95ehRzZChniB,L7NNON /  DJ Biel do Furduncinho /  Bianca,Ai Preto,Papatunes,1,5,13,4658155,9,2022
1,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Mc Paiva ZS /  MC Ryan SP /  Kotim,Casei Com a Putaria,Love Funk,1,3,13,5584445,10,2022
2,spotify:track:7qoIhutxU269Zqo9PG5IOj,Pineapple StormTv /  Chris MC /  Salve Malak /  Tz da Coronel /  MC Cabelinho /  Chefin /  L7NNON /  Luísa Sonza /  Oruam /  Xamã /  N.I.N.A,Poesia Acústica 13,Pineapple StormTV,1,1,3,5013844,10,2022
3,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Guilherme & Benuto /  Hugo & Guilherme,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Sony Music Entertainment,2,2,15,5011950,10,2022
4,spotify:track:3yHXEidSu4gYVRqKoI653O,Guilherme & Benuto /  Xand Avião,Assunto Delicado - Ao Vivo,Sony Music Entertainment,4,9,7,4623435,10,2022
5,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Gustavo Mioto /  Mari Fernandez,Eu Gosto Assim - Ao Vivo,Universal Music Ltda.,5,25,3,4445844,10,2022
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Gustavo Mioto /  Mari Fernandez,Eu Gosto Assim - Ao Vivo,Universal Music Ltda.,1,1,8,7204972,11,2022
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Guilherme & Benuto /  Hugo & Guilherme,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Sony Music Entertainment,2,2,20,5590260,11,2022
3,spotify:track:3yHXEidSu4gYVRqKoI653O,Guilherme & Benuto /  Xand Avião,Assunto Delicado - Ao Vivo,Sony Music Entertainment,3,3,12,5313673,11,2022
4,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Mc Paiva ZS /  MC Ryan SP /  Kotim,Casei Com a Putaria,Love Funk,1,4,18,5143958,11,2022
5,spotify:track:2orGm2E68ODFYOURjaES62,WIU /  MC Ryan SP,Felina,Sony Music Entertainment,5,5,7,4924822,11,2022
1,spotify:track:1597vvneWf0zoQrg2D8yH6,MC MENOR HR /  MC MENOR SG /  DJ ESCOBAR,Evoque Prata,GUETTO RECORDS,1,1,6,8874752,12,2022
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Israel & Rodolffo /  Ana Castela,Bombonzinho - Ao Vivo,Som Livre,2,3,5,7330459,12,2022
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Gustavo Mioto /  Mari Fernandez,Eu Gosto Assim - Ao Vivo,Universal Music Ltda.,1,2,12,7084349,12,2022
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Guilherme & Benuto /  Hugo & Guilherme,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Sony Music Entertainment,2,4,24,5584847,12,2022
5,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Zé Felipe /  Ana Castela /  Luan Pereira,Roça Em Mim,Som Livre,5,12,3,5441572,12,2022
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Marília Mendonça,Leão,Som Livre,1,4,5,11679078,1,2023
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Israel & Rodolffo /  Ana Castela,Bombonzinho - Ao Vivo,Som Livre,1,2,10,8312942,1,2023
3,spotify:track:1597vvneWf0zoQrg2D8yH6,MC MENOR HR /  MC MENOR SG /  DJ ESCOBAR,Evoque Prata,GUETTO RECORDS,1,1,11,7823626,1,2023
4,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Gustavo Mioto /  Mari Fernandez,Eu Gosto Assim - Ao Vivo,Universal Music Ltda.,1,3,17,7085020,1,2023
5,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,MC K.K /  Dj TG Beats /  Dj Aurélio /  MC Lipivox,Agudo Mágico 3,Authentic Records OFC,5,7,5,6183565,1,2023
1,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Léo Santana,Zona De Perigo,Universal Music Ltda.,1,34,2,14567403,2,2023
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Marília Mendonça,Leão,Som Livre,1,1,9,12900266,2,2023
3,spotify:track:4o6v3Oooyt7HF20idztRD4,Israel & Rodolffo /  Ana Castela,Bombonzinho - Ao Vivo,Som Livre,1,2,14,8332349,2,2023
4,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Gustavo Mioto /  Mari Fernandez,Eu Gosto Assim - Ao Vivo,Universal Music Ltda.,1,3,21,6806875,2,2023
5,spotify:track:7nFvKgVumc9FcU97zGjjei,WIU,Coração de Gelo,Sony Music Entertainment,4,4,10,6481605,2,2023
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,AgroPlay /  Ana Castela,Nosso Quadro,AgroPlay,1,3,5,12786821,3,2023
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Marília Mendonça,Leão,Som Livre,1,1,13,10359680,3,2023
3,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Israel & Rodolffo /  Ana Castela,Bombonzinho - Ao Vivo,Som Livre,1,5,18,7439116,3,2023
5,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Léo Santana,Zona De Perigo,Universal Music Ltda.,1,2,6,7376352,3,2023
6,spotify:track:22sAwsBH0NoNJXnrBenQuO,MC Xenon /  Os Gemeos da Putaria,Sem Aliança no Dedo,DC MUSIC,6,9,5,7327158,3,2023
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,AgroPlay /  Ana Castela,Nosso Quadro,AgroPlay,1,1,9,10058781,4,2023
