rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:1nH2PkJL1XoUq8oE6tBZoU,The Weeknd,Sacrifice,XO / Republic Records,1,-1,1,1494833,1,2022
2,spotify:track:5S9Zs5g9lTWnLIboN1pdlU,Lauren Spencer Smith,Fingers Crossed,"Three Name Productions, Inc./ Island Records & Republic Records",2,50,2,1234185,1,2022
3,spotify:track:2SLwbpExuoBDZBpjfefCtV,The Weeknd,Out of Time,XO / Republic Records,3,-1,1,1215134,1,2022
4,spotify:track:0mL82sxCRjrs3br407IdJh,The Weeknd,Is There Someone Else?,XO / Republic Records,4,-1,1,1209613,1,2022
5,spotify:track:3KyKxJ4P3pVCgaZwaq2rUC,The Weeknd,Gasoline,XO / Republic Records,5,-1,1,1029007,1,2022
1,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,2,59,1160725,2,2022
2,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán /  Mauro Castillo /  Adassa /  Rhenzy Feliz /  Diane Guerrero /  Stephanie Beatriz /  Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,1,1,7,1129892,2,2022
3,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,1,3,26,1052789,2,2022
4,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,5,31,943516,2,2022
5,spotify:track:3XOalgusokruzA5ZBA2Qcb,Gunna /  Future /  Young Thug,pushin P (feat. Young Thug),300 Entertainment,4,4,5,928899,2,2022
1,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,1,63,1090170,3,2022
2,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,1,2,30,859577,3,2022
3,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,4,35,824474,3,2022
4,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán /  Mauro Castillo /  Adassa /  Rhenzy Feliz /  Diane Guerrero /  Stephanie Beatriz /  Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,1,3,11,761972,3,2022
5,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,4,8,26,726038,3,2022
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,-1,1,2837052,4,2022
2,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,1,67,1072032,4,2022
3,spotify:track:1HvTxgCj0mTzQlEo0zLvFb,Lil Tjay,In My Head,Columbia,3,-1,1,920210,4,2022
4,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,1,3,34,817074,4,2022
5,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,2,39,801666,4,2022
1,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,1,2,5,1856831,5,2022
2,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,6,1788833,5,2022
3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,3,5,4,1546483,5,2022
4,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Future /  Drake /  Tems,WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,3,3,2,1143778,5,2022
5,spotify:track:0LnS7aOdOdI1dNKZqdOLz4,Jack Harlow,Dua Lipa,Generation Now/Atlantic,5,-1,1,1096303,5,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,2,2,2242147,6,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,10,1835797,6,2022
3,spotify:track:0O6u0VJ46W86TxN9wgyqDj,Post Malone /  Doja Cat,I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,3,-1,1,1425004,6,2022
4,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,3,4,8,1202761,6,2022
5,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,1,3,9,1197485,6,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,4,6,1622493,7,2022
2,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Drake /  21 Savage,Jimmy Cooks (feat. 21 Savage),OVO,1,1,3,1513536,7,2022
3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,14,1395031,7,2022
4,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music,2,2,4,1269993,7,2022
5,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,5,80,997054,7,2022
1,spotify:track:0g2Bbgy7P41pFjMWJuzsf4,DJ Khaled /  Drake /  Lil Baby,STAYING ALIVE (feat. Drake & Lil Baby),Epic/We The Best,1,-1,1,1423537,8,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,19,1150493,8,2022
3,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,3,4,6,1000657,8,2022
4,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,2,11,998323,8,2022
5,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Drake /  21 Savage,Jimmy Cooks (feat. 21 Savage),OVO,1,3,8,979110,8,2022
1,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,1,8,2,1334509,9,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,23,1199630,9,2022
3,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,2,2,4,1096919,9,2022
4,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,4,4,14,1071345,9,2022
5,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,2,3,10,978929,9,2022
1,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,1,3,1784003,10,2022
2,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,1,2,7,1370059,10,2022
3,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,3,3,19,1059417,10,2022
4,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,2,4,15,1013533,10,2022
