rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:5hiQSNo6jQbQ2m2gBZs7bU,Muslim - مُسلِم,Etnaset,Global,1,1,12,115309,1,2022
2,spotify:track:4xAYDw7NVSKkvMIE9vFTVu,Karim Mahmoud Abdelaziz /  Mohamed Osama,Elghazala Ray2a (feat. Mohamed Osama),Sony Music Entertainment,2,2,2,114453,1,2022
3,spotify:track:3yWSjxKQMpa7hXcmVElZgX,Wegz /  Disco Misr,Keify Keda,Global,1,3,13,80616,1,2022
4,spotify:track:53BjuhvFCmv5T0VRhKuNrb,Afroto,FAR2 KHEBRA,The Basement Records,2,4,11,74513,1,2022
5,spotify:track:1w8I30qzVlqUgkp0P9bXh1,Shahyn,Siri,Shahyn,1,5,29,70910,1,2022
1,spotify:track:5hiQSNo6jQbQ2m2gBZs7bU,Muslim - مُسلِم,Etnaset,Global,1,1,16,119412,2,2022
2,spotify:track:53BjuhvFCmv5T0VRhKuNrb,Afroto,FAR2 KHEBRA,The Basement Records,2,3,15,80693,2,2022
3,spotify:track:4xAYDw7NVSKkvMIE9vFTVu,Karim Mahmoud Abdelaziz /  Mohamed Osama,Elghazala Ray2a (feat. Mohamed Osama),Sony Music Entertainment,2,2,6,80103,2,2022
4,spotify:track:3yWSjxKQMpa7hXcmVElZgX,Wegz /  Disco Misr,Keify Keda,Global,1,4,17,79133,2,2022
5,spotify:track:4uNc5GMR6a5az5U3Ghdyf8,Wegz,عفاريت الأسفلت,Takwene,1,6,30,75200,2,2022
1,spotify:track:5CeSq5JBv2wCeIHZA0PLtT,Wegz,البخت,Takwene,1,1,2,871560,3,2022
2,spotify:track:5NcTOxzo2WE20tFdtUhbAM,Marwan Pablo,Barbary,Quality Clique,2,2,2,402973,3,2022
3,spotify:track:5hiQSNo6jQbQ2m2gBZs7bU,Muslim - مُسلِم,Etnaset,Global,1,5,20,141080,3,2022
4,spotify:track:53NXe3kkRKLOHetbquwSxt,Telecom Egypt /  Ahmed Mekky /  Wegz,اغنية اقوى ميكس من وي,Telecom Egypt,1,3,5,133448,3,2022
5,spotify:track:0johwiyFvPcTbM1miBvaUh,Ali Loka /  Ouzzy,Matkhafesh Yamma,WKS LTD,3,4,3,107383,3,2022
1,spotify:track:5kdlxZ5skOYY3VK8RlfEIZ,Wegz,البخت,Takwene,1,1,6,235712,4,2022
2,spotify:track:5V0l4DBUYwNr8ETXqf1Yod,Wegz,"بعودة يا بلادى ( من فيلم "" كباتن الزعتري "")",Takwene,2,3,3,120046,4,2022
3,spotify:track:5NcTOxzo2WE20tFdtUhbAM,Marwan Pablo,Barbary,Quality Clique,2,2,6,103524,4,2022
4,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,4,-1,1,63832,4,2022
5,spotify:track:5hiQSNo6jQbQ2m2gBZs7bU,Muslim - مُسلِم,Etnaset,Global,1,4,24,61622,4,2022
1,spotify:track:5kdlxZ5skOYY3VK8RlfEIZ,Wegz,البخت,Takwene,1,1,11,209746,5,2022
