rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:6YFcvJlcgQceRfJrVpmJa0,Olli Halonen,Pohjola,WM Finland,1,8,31,277286,1,2022
2,spotify:track:3EfMGeYXw69Saa14torWpK,Cledos /  ibe /  Averagekidluke /  A36,Samma gamla vanliga - Remix,WM Sweden,1,7,17,252904,1,2022
3,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,1,6,8,246853,1,2022
4,spotify:track:4N84bVnNycTXiuoKZFEXrD,Portion Boys /  Matti ja Teppo,Vauhti kiihtyy (feat. Matti ja Teppo),Sony Music Entertainment Finland,1,12,30,207242,1,2022
5,spotify:track:1w2vjbD7OmP9TaPRiiA2xW,nublu /  Mikael Gabriel,Vihje,Universal Music Oy,5,-1,1,205797,1,2022
1,spotify:track:55qPuI6NekVyNPM6kh5DN4,BESS,Ram pam pam,Universal Music Oy,1,1,4,484642,2,2022
2,spotify:track:5YW76GVS51KRAbMkaIPYni,Lauri Tähkä,Nukkuvat aamut,WM Finland,2,-1,1,329086,2,2022
3,spotify:track:6YFcvJlcgQceRfJrVpmJa0,Olli Halonen,Pohjola,WM Finland,1,2,36,318167,2,2022
4,spotify:track:7yLhuElA3Ooa4Z2Ymdsx5q,Adi L Hasla /  costee,Levottomat tuulet (feat. costee),Sony Music Entertainment Finland,3,3,3,242406,2,2022
5,spotify:track:1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,5,6,18,203535,2,2022
1,spotify:track:55qPuI6NekVyNPM6kh5DN4,BESS,Ram pam pam,Universal Music Oy,1,1,8,477431,3,2022
2,spotify:track:6YFcvJlcgQceRfJrVpmJa0,Olli Halonen,Pohjola,WM Finland,1,2,40,278037,3,2022
3,spotify:track:5tc3oziWiatFbn73vG3E8A,Antti Tuisku,Koti,WM Finland,3,-1,1,272914,3,2022
4,spotify:track:5dtblyaDrGQxEeYW9Iv51z,BEHM,Ethän tarkoittanut sitä,WM Finland,2,3,4,245357,3,2022
5,spotify:track:7tv9J2xwmdg0SoZ4QbQEBD,Fabe,Tähti,Sony Music Entertainment Finland,5,-1,1,227304,3,2022
1,spotify:track:3bIKi7iQ8lnX5oA8xILBon,pehmoaino,haluun takas mun perhoset,Sony Music Entertainment Finland,1,3,2,698710,4,2022
2,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,2,-1,1,450890,4,2022
3,spotify:track:3TC6Z4oLl3AYL1Vd7PtDr4,Pihlaja /  Etta,Bändäri,Sony Music Entertainment Finland,1,1,2,424230,4,2022
4,spotify:track:55qPuI6NekVyNPM6kh5DN4,BESS,Ram pam pam,Universal Music Oy,1,2,12,376617,4,2022
5,spotify:track:1SllLQv2tfIlgtYXO5edRM,T Swoop,Mon Ami,Sony Music Entertainment Finland,5,9,2,280292,4,2022
1,spotify:track:3UTyIQpogsEpo9IIY5wLS5,JVG,Amatimies,WM Finland,1,1,2,768812,5,2022
2,spotify:track:5eDt2k9gdjk9EyNdo7MqK1,Ed Sheeran /  Ellinoora,2step (feat. Ellinoora),Atlantic Records UK,2,19,2,518051,5,2022
3,spotify:track:1SllLQv2tfIlgtYXO5edRM,T Swoop,Mon Ami,Sony Music Entertainment Finland,2,2,7,381778,5,2022
4,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,2,5,6,346733,5,2022
5,spotify:track:66ZiW1fgTaWZINhOLyDeLo,Gettomasa,500 Hevosta,PME Records,1,3,3,339344,5,2022
1,spotify:track:6vmFYA9uGxkS7u8c651KnL,Ramses II,Villieläin,WM Finland,1,1,8,915645,6,2022
2,spotify:track:3UTyIQpogsEpo9IIY5wLS5,JVG,Amatimies,WM Finland,1,3,6,672441,6,2022
3,spotify:track:5e7XVJJcGbecTB9N4asFsu,El Migu,Erilainen,Sony Music Entertainment Finland,1,2,3,638662,6,2022
4,spotify:track:22KSKT3mCbSiG4RT20ogxB,Gettomasa /  Van Hegen,Shamppanjadieetillä,PME Records,4,4,2,599814,6,2022
5,spotify:track:0JbfBxlJxSqjbI9vbzi4Vn,Joe L /  william,Käytöstapoi (feat. william),Sony Music Entertainment Finland,3,5,3,417439,6,2022
1,spotify:track:0Nx44mzVtTyNnUypzRlu53,JVG /  Ege Zulu /  Costi,Verkkareis (feat. Ege Zulu /  Costi),WM Finland,1,-1,1,567897,7,2022
2,spotify:track:0hR9rAzfwW8EuutTXdSzuF,Ramses II,Villieläin,WM Finland,1,1,12,543755,7,2022
