rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,24,12,1912633,1,2022
2,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,2,29,8,1720199,1,2022
3,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,1,30,17,1663480,1,2022
4,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,Atlantic Records UK,1,37,28,1593078,1,2022
5,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,5,39,64,1571577,1,2022
1,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán /  Mauro Castillo /  Adassa /  Rhenzy Feliz /  Diane Guerrero /  Stephanie Beatriz /  Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,1,1,7,2534566,2,2022
2,spotify:track:337kcYVjYXdLBItCw9ry3b,D-Block Europe /  Central Cee,Overseas,D-Block Europe,2,2,12,1817965,2,2022
3,spotify:track:49KTdYsWNtkvOslTpgZuM1,ArrDee /  Aitch,War,Universal-Island Records Ltd.,3,-1,1,1743094,2,2022
4,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,4,5,69,1707038,2,2022
5,spotify:track:5rF6YUIlgiat22OT1lWspJ,Sam Fender,Seventeen Going Under,Polydor Records,5,10,18,1637616,2,2022
1,spotify:track:531KGXtBroSrOX9LVmiIgc,Dave,Starlight,Dave / Neighbourhood Recordings,1,-1,1,4350165,3,2022
2,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,2,3,73,1748528,3,2022
3,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán /  Mauro Castillo /  Adassa /  Rhenzy Feliz /  Diane Guerrero /  Stephanie Beatriz /  Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,1,1,11,1679809,3,2022
4,spotify:track:3uUuGVFu1V7jTQL60S1r8z,Lost Frequencies /  Calum Scott,Where Are You Now,Epic Amsterdam,2,2,22,1585366,3,2022
5,spotify:track:3Oww84xrmgjyr5J1ilOmAf,Luude /  Colin Hay,Down Under,B1 Recordings,5,5,10,1582855,3,2022
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,-1,1,5882463,4,2022
2,spotify:track:531KGXtBroSrOX9LVmiIgc,Dave,Starlight,Dave / Neighbourhood Recordings,1,1,5,3274118,4,2022
3,spotify:track:3pudQCMnsFGwOElTZmuml8,Aitch /  Ashanti,Baby,Capitol Records UK / EMI,2,2,4,2494278,4,2022
4,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,2,3,77,1734322,4,2022
5,spotify:track:3uUuGVFu1V7jTQL60S1r8z,Lost Frequencies /  Calum Scott,Where Are You Now,Epic Amsterdam,2,4,26,1523956,4,2022
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,5,3865960,5,2022
2,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,Generation Now/Atlantic,2,2,4,2893670,5,2022
3,spotify:track:531KGXtBroSrOX9LVmiIgc,Dave,Starlight,Dave / Neighbourhood Recordings,1,3,9,2379101,5,2022
4,spotify:track:3pudQCMnsFGwOElTZmuml8,Aitch /  Ashanti,Baby,Capitol Records UK / EMI,2,4,8,1933409,5,2022
5,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Future /  Drake /  Tems,WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,5,-1,1,1726508,5,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,2,2,5487820,6,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,10,3412931,6,2022
3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,2,4,6,2018093,6,2022
4,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,2,3,3,1903514,6,2022
5,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,2,6,9,1736781,6,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,1,6,3959212,7,2022
2,spotify:track:40SBS57su9xLiE1WqkXOVr,LF SYSTEM,Afraid To Feel,Warner Records,2,3,6,2879364,7,2022
