rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,3,26,32295565,1,2022
2,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,1,4,8,31638858,1,2022
3,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,10,54,28387947,1,2022
4,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,4,11,21,27672367,1,2022
5,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,7,12,27307694,1,2022
1,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,1,59,31668100,2,2022
2,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,1,2,13,28216065,2,2022
3,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,3,31,27908239,2,2022
4,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,Imagine Dragons /  JID /  Arcane /  League of Legends,Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,4,4,15,26745557,2,2022
5,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,4,5,26,24655316,2,2022
1,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,1,63,30353370,3,2022
2,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,2,35,24905049,3,2022
3,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,Imagine Dragons /  JID /  Arcane /  League of Legends,Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,3,3,19,23637334,3,2022
4,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,1,4,17,22341453,3,2022
5,spotify:track:7rglLriMNBPAyuJOMGwi39,Elton John /  Dua Lipa /  PNAU,Cold Heart - PNAU Remix,EMI,4,6,30,21349861,3,2022
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,-1,1,78460903,4,2022
2,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,1,67,29196550,4,2022
3,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,3,39,23519832,4,2022
4,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,Imagine Dragons /  JID /  Arcane /  League of Legends,Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,3,5,23,21399051,4,2022
5,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Anitta,Envolver,WEA Latina,2,2,5,21367787,4,2022
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,6,57385688,5,2022
2,spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,-1,1,51387060,5,2022
3,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny /  Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,3,-1,1,38454334,5,2022
4,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Bad Bunny /  Bomba Estéreo,Ojitos Lindos,Rimas Entertainment LLC,4,-1,1,38207348,5,2022
5,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,5,-1,1,35141825,5,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,4,2,57221016,6,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,10,56282016,6,2022
3,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny /  Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,2,5,39839157,6,2022
4,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Bad Bunny /  Bomba Estéreo,Ojitos Lindos,Rimas Entertainment LLC,3,3,5,37479812,6,2022
5,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,5,5,5,32543225,6,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,3,6,49150310,7,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,14,46066404,7,2022
3,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music,1,2,4,39339541,7,2022
4,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny /  Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,4,9,38359511,7,2022
5,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,5,5,9,32556896,7,2022
1,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,Bizarrap /  Quevedo,Quevedo: Bzrp Music Sessions /  Vol. 52,DALE PLAY Records,1,1,5,49200772,8,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,2,19,39156789,8,2022
3,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny /  Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,3,14,36028246,8,2022
4,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,5,14,32101875,8,2022
5,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,4,11,30032752,8,2022
1,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,Bizarrap /  Quevedo,Quevedo: Bzrp Music Sessions /  Vol. 52,DALE PLAY Records,1,1,9,39176703,9,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,2,23,38742484,9,2022
3,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny /  Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,3,18,32881044,9,2022
4,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,5,18,30758728,9,2022
5,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,5,7,10,28735619,9,2022
1,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,1,2,53478156,10,2022
2,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta /  Bebe Rexha,I'm Good (Blue),Parlophone UK,2,2,6,33516367,10,2022
3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,27,32910077,10,2022
4,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,Bizarrap /  Quevedo,Quevedo: Bzrp Music Sessions /  Vol. 52,DALE PLAY Records,1,4,13,31691825,10,2022
5,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,5,5,14,29821181,10,2022
