rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:1ZrnCyms7CBYsCvkkVIkt8,MC 張天賦,記憶棉,WM Hong Kong,1,1,12,387280,1,2022
2,spotify:track:2P5Eeh29qJrYa1T27cdL3B,MC 張天賦,反對無效,WM Hong Kong,2,2,32,319680,1,2022
3,spotify:track:433FK3gktWwmjkAPMSqVNO,MC 張天賦,時候不早,WM Hong Kong,2,3,5,276336,1,2022
4,spotify:track:72OVnXDzugvrCU25lMi9au,WeiBird,"如果可以 - 電影""月老""主題曲",Sony Music Entertainment,4,4,6,217825,1,2022
5,spotify:track:5st8nBxaC9GX6Dl3VMXTbM,Terence Lam,在空中的這一秒,Terence Lam Production & Co.,2,6,6,193411,1,2022
1,spotify:track:1ZrnCyms7CBYsCvkkVIkt8,MC 張天賦,記憶棉,WM Hong Kong,1,1,16,237534,2,2022
2,spotify:track:2P5Eeh29qJrYa1T27cdL3B,MC 張天賦,反對無效,WM Hong Kong,2,2,36,195452,2,2022
3,spotify:track:433FK3gktWwmjkAPMSqVNO,MC 張天賦,時候不早,WM Hong Kong,2,3,9,178340,2,2022
4,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,4,27,159910,2,2022
5,spotify:track:5st8nBxaC9GX6Dl3VMXTbM,Terence Lam,在空中的這一秒,Terence Lam Production & Co.,2,6,10,133927,2,2022
1,spotify:track:6flgMTTqhbJSNryAPCYcvA,陳卓賢 Ian,留一天與你喘息,Music Nation Records Co. Ltd.,1,1,4,218099,3,2022
2,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,4,31,185110,3,2022
3,spotify:track:4c9hHw1PUYXHfKFASXo8H0,Terence Lam,某種老朋友,Terence Lam Production & Co.,1,2,4,180630,3,2022
4,spotify:track:1ZrnCyms7CBYsCvkkVIkt8,MC 張天賦,記憶棉,WM Hong Kong,1,3,20,176041,3,2022
5,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,5,6,10,163308,3,2022
1,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,1,35,220669,4,2022
2,spotify:track:6flgMTTqhbJSNryAPCYcvA,陳卓賢 Ian,留一天與你喘息,Music Nation Records Co. Ltd.,1,2,8,204223,4,2022
3,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,3,3,14,191859,4,2022
4,spotify:track:3TSLqZssCoCdDlMhCJ08XW,BIGBANG,Still Life,YG Entertainment,4,-1,1,187476,4,2022
5,spotify:track:7xE3HkKaZFhtzrt2FiwNOd,Keung To,Master Class,Music Nation Records Co. Ltd.,4,4,54,179266,4,2022
1,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,2,2,307021,5,2022
2,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,1,40,253217,5,2022
3,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,3,3,19,223975,5,2022
4,spotify:track:6flgMTTqhbJSNryAPCYcvA,陳卓賢 Ian,留一天與你喘息,Music Nation Records Co. Ltd.,1,4,13,197233,5,2022
5,spotify:track:1ZrnCyms7CBYsCvkkVIkt8,MC 張天賦,記憶棉,WM Hong Kong,1,5,29,187364,5,2022
1,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,1,6,254192,6,2022
2,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,2,44,245124,6,2022
3,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,3,3,23,224436,6,2022
4,spotify:track:4pnqbvjkdoIKUzmfr1bUho,Anson Lo 盧瀚霆,Mr. Stranger,Music Nation Records Co Ltd.,4,4,15,201502,6,2022
5,spotify:track:33bb4ipPqbeTdZLOAix27Z,Anson Lo 盧瀚霆,Megahit,Music Nation Records Co. Ltd.,4,5,38,195924,6,2022
1,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,1,10,300817,7,2022
2,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,2,48,294110,7,2022
3,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,3,3,27,280495,7,2022
4,spotify:track:7xE3HkKaZFhtzrt2FiwNOd,Keung To,Master Class,Music Nation Records Co. Ltd.,4,5,67,244896,7,2022
5,spotify:track:1UJYWfzyPjRwmlCawgJroV,Anson Lo 盧瀚霆,King Kong,Music Nation Records Co Ltd.,4,4,5,237289,7,2022
1,spotify:track:2lMVTk3I232dE7jnkufOSt,MC 張天賦,老派約會之必要,WM Hong Kong,1,1,4,383095,8,2022
2,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,3,53,265795,8,2022
3,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,2,15,260423,8,2022
4,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,3,4,32,241853,8,2022
5,spotify:track:1UJYWfzyPjRwmlCawgJroV,Anson Lo 盧瀚霆,King Kong,Music Nation Records Co Ltd.,4,6,10,202270,8,2022
1,spotify:track:172oAbLGpgeCsukno7oBRe,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),EEG Music,1,1,4,295499,9,2022
2,spotify:track:2lMVTk3I232dE7jnkufOSt,MC 張天賦,老派約會之必要,WM Hong Kong,1,2,8,288086,9,2022
3,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,4,19,269907,9,2022
4,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,5,57,267446,9,2022
5,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,3,6,36,250641,9,2022
1,spotify:track:172oAbLGpgeCsukno7oBRe,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),EEG Music,1,1,9,288587,10,2022
2,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,2,62,255962,10,2022
3,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,3,24,246783,10,2022
4,spotify:track:2lMVTk3I232dE7jnkufOSt,MC 張天賦,老派約會之必要,WM Hong Kong,1,4,13,230694,10,2022
5,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,3,6,41,218487,10,2022
1,spotify:track:48yFnEAkBdOmqvhZ6NaR4U,Dear Jane,到底發生過什麼事,WM Hong Kong,1,1,3,313278,11,2022
2,spotify:track:172oAbLGpgeCsukno7oBRe,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),EEG Music,1,2,13,290223,11,2022
3,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,3,66,254279,11,2022
4,spotify:track:2vJreatDgwtXWKpkqpPUZ3,陳卓賢 Ian,地球上的最後一朵花,Music Nation Records Co. Ltd.,4,13,2,243484,11,2022
5,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,4,28,239654,11,2022
1,spotify:track:3b4dQtIVyVhQdbYVfrik0k,Anson Lo 盧瀚霆,永順街39號,Music Nation Records Co Ltd.,1,1,4,317235,12,2022
2,spotify:track:172oAbLGpgeCsukno7oBRe,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),EEG Music,1,2,17,309030,12,2022
3,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,3,70,276549,12,2022
4,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,5,32,265765,12,2022
5,spotify:track:48yFnEAkBdOmqvhZ6NaR4U,Dear Jane,到底發生過什麼事,WM Hong Kong,1,4,7,257097,12,2022
1,spotify:track:3b4dQtIVyVhQdbYVfrik0k,Anson Lo 盧瀚霆,永順街39號,Music Nation Records Co Ltd.,1,1,9,321843,1,2023
2,spotify:track:172oAbLGpgeCsukno7oBRe,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),EEG Music,1,2,22,319896,1,2023
3,spotify:track:1dBroK67DSaaEE5kvkVjzG,Keung To,作品的說話,Music Nation Records Co Ltd.,1,3,37,289719,1,2023
4,spotify:track:11IqNbLOD4s4nVYSuEttFR,Keung To,Dear My Friend / ,Music Nation Records Co. Ltd.,1,4,75,277374,1,2023
5,spotify:track:4umaD9GJDZMihD9mal7vd1,Keung To,鏡中鏡,Music Nation Records Co. Ltd.,3,7,54,253103,1,2023
1,spotify:track:172oAbLGpgeCsukno7oBRe,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),EEG Music,1,1,26,343450,2,2023
