rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:29m79w9xPMH4YCD6r8JSmV,AP Dhillon /  Gurinder Gill /  Intense,Excuses,RUN-UP RECORDS,1,5,12,4581879,1,2022
2,spotify:track:2rOnSn2piaqLAlYjtfUBlY,Tanishk Bagchi /  Jubin Nautiyal /  Asees Kaur,"Raataan Lambiyan (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,1,24,3369701,1,2022
3,spotify:track:2YmXGUx32C3CUEgcAyHcGf,Devi Sri Prasad /  Sid Sriram /  Chandra Bose,"Srivalli (From ""Pushpa - The Rise"")(Telugu)",Aditya Music,3,11,13,2895588,1,2022
4,spotify:track:72zHuDxFQTjbL51qJQSA7j,Jasleen Royal /  B Praak /  Romy,"Ranjha (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,2,23,2859653,1,2022
5,spotify:track:5pcmtf1lwrMqmAWWm248fY,AP Dhillon /  Gurinder Gill,DESIRES,RUN-UP RECORDS,4,4,8,2666225,1,2022
1,spotify:track:29m79w9xPMH4YCD6r8JSmV,AP Dhillon /  Gurinder Gill /  Intense,Excuses,RUN-UP RECORDS,1,1,16,7864379,2,2022
2,spotify:track:2rOnSn2piaqLAlYjtfUBlY,Tanishk Bagchi /  Jubin Nautiyal /  Asees Kaur,"Raataan Lambiyan (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,5,28,3019386,2,2022
3,spotify:track:5pcmtf1lwrMqmAWWm248fY,AP Dhillon /  Gurinder Gill,DESIRES,RUN-UP RECORDS,2,2,12,3004833,2,2022
4,spotify:track:7k6QR9YHyW258yVN6FHO1T,OAFF /  Savera /  Lothika /  Kausar Munir,Doobey,Sony Music Entertainment India Pvt. Ltd.,4,9,3,2893745,2,2022
5,spotify:track:7sVEoPc5ZUUQerRkgTypUZ,Javed Ali /  Devi Sri Prasad,"Srivalli (From ""Pushpa The Rise Part - 01"")",T-Series,4,4,3,2775100,2,2022
