rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:2VyZWWKamfq7kVnh5gMgPd,Marracash /  Guè,∞ LOVE (feat. Guè),Universal Music Italia srL.,1,1,7,2086831,1,2022
2,spotify:track:16EJNayKtC09M0Fi7Py47s,BLANCO,Finché Non Mi Seppelliscono,Universal Music Italia srL.,2,3,17,1657672,1,2022
3,spotify:track:3QdtpN3K8s2aDsX6o10KZK,Fedez /  Tedua,SAPORE – with Tedua,Columbia,2,4,6,1618336,1,2022
4,spotify:track:0bKDQionn4VKcgNKbs4SWX,Pinguini Tattici Nucleari,Pastello Bianco,RCA Records Label,2,2,32,1549230,1,2022
5,spotify:track:3HYK8FMGNQu1Whl8DdtsRC,Marracash,CRAZY LOVE,Universal Music Italia srL.,2,6,7,1429062,1,2022
1,spotify:track:1ZMGp9MTXbtAPvcKa0U3zS,Mahmood /  BLANCO,Brividi,Universal Music Italia srL.,1,1,2,17031195,2,2022
2,spotify:track:0hluyTCTSua59xYuIRqpe5,Irama,Ovunque Sarai,WM Italy,2,51,2,6306785,2,2022
3,spotify:track:0jLeyuu6mtsD384054xLah,La rappresentante di lista,Ciao Ciao,Woodworm Publishing Srl,3,7,2,5432945,2,2022
4,spotify:track:0GsZZWhBMIQXAmPYPJ3PRQ,Rkomi,INSUPERABILE,Universal Music Italia srL.,4,5,2,5339084,2,2022
5,spotify:track:5HujDMiRNqZwEzVAh3oFD3,sangiovanni,farfalle,Universal Music Italia srL. (Sugar),5,38,2,5227418,2,2022
1,spotify:track:1ZMGp9MTXbtAPvcKa0U3zS,Mahmood /  BLANCO,Brividi,Universal Music Italia srL.,1,1,6,3449027,3,2022
2,spotify:track:3yWHQ4n4ARLDfYTuT2NhnN,Tananai,BABY GODDAMN,Universal Music Italia srL.,2,6,4,2576199,3,2022
3,spotify:track:75mCCeBwjfoZtfAPE0SxwO,Irama,Ovunque Sarai,Atlantic/WM Italy,2,2,6,2074017,3,2022
4,spotify:track:5HujDMiRNqZwEzVAh3oFD3,sangiovanni,farfalle,Universal Music Italia srL. (Sugar),3,3,6,2041157,3,2022
5,spotify:track:5a6ABzVhqgVKI1znaI9tar,Dargen D'Amico,Dove Si Balla,Universal Music Italia srL.,4,4,6,1941837,3,2022
1,spotify:track:4EC028SvtlC25iHQSG2OIa,Rhove,Shakerando,Universal Music Italia srL.,1,3,16,2312027,4,2022
2,spotify:track:1ZMGp9MTXbtAPvcKa0U3zS,Mahmood /  BLANCO,Brividi,Universal Music Italia srL.,1,2,10,2148309,4,2022
3,spotify:track:3yWHQ4n4ARLDfYTuT2NhnN,Tananai,BABY GODDAMN,Universal Music Italia srL.,1,1,8,2138852,4,2022
4,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,4,-1,1,1734804,4,2022
5,spotify:track:4lstxdn27jZqnTuyaLeJfq,Rhove,Cancelo,Universal Music Italia srL.,5,6,3,1509976,4,2022
1,spotify:track:4EC028SvtlC25iHQSG2OIa,Rhove,Shakerando,Universal Music Italia srL.,1,1,21,2679819,5,2022
2,spotify:track:0DpTRR4HyiDJH4Waoj9hXU,Sfera Ebbasta /  Rvssian /  Fivio Foreign,Easy (feat. Fivio Foreign),Universal Music Italia srL.,2,-1,1,2210915,5,2022
3,spotify:track:7d7xucQmFY7PoESyJm2V9J,Sfera Ebbasta /  Rvssian,Mamma Mia,Universal Music Italia srL.,2,2,2,2117373,5,2022
4,spotify:track:3yWHQ4n4ARLDfYTuT2NhnN,Tananai,BABY GODDAMN,Universal Music Italia srL.,1,3,13,1843836,5,2022
5,spotify:track:01DXwNf1GzEJkYTbXgL0eb,Lazza,USCITO DI GALERA,Universal Music Italia srL.,5,5,5,1791408,5,2022
1,spotify:track:0I0b7uTFfHhBz5bMkSDouF,Fedez /  Tananai /  Mara Sattei,LA DOLCE VITA,Columbia,1,-1,1,3495512,6,2022
2,spotify:track:22gH5Qg5j5ZzF7LaR7Nrkj,BLANCO,Nostalgia,Universal Music Italia srL.,2,-1,1,3360815,6,2022
3,spotify:track:4EC028SvtlC25iHQSG2OIa,Rhove,Shakerando,Universal Music Italia srL.,1,1,25,2852792,6,2022
4,spotify:track:1v9ABGLSpdhPDEWyQ10NFD,Jovanotti /  Sixpm,I love you baby,Universal Music Italia srL.,2,2,10,2157948,6,2022
5,spotify:track:7iLuBTHJSXM2HalKHFqEEy,Pinguini Tattici Nucleari,Giovani Wannabe,Columbia,4,4,2,2101540,6,2022
1,spotify:track:0I0b7uTFfHhBz5bMkSDouF,Fedez /  Tananai /  Mara Sattei,LA DOLCE VITA,Columbia,1,1,5,3297369,7,2022
2,spotify:track:4EC028SvtlC25iHQSG2OIa,Rhove,Shakerando,Universal Music Italia srL.,1,2,29,2946170,7,2022
3,spotify:track:3h043RAJ7tKaG1HDFeet6w,Kaleb Di Masi /  Sfera Ebbasta /  Rvfv /  Omar Varela,Hace Calor - Remix,Wapeo,3,3,4,2778208,7,2022
4,spotify:track:7iLuBTHJSXM2HalKHFqEEy,Pinguini Tattici Nucleari,Giovani Wannabe,Columbia,4,4,6,2393566,7,2022
