rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:7n2FZQsaLb7ZRfRPfEeIvr,IVE,ELEVEN,STARSHIP Entertainment,1,1,7,79847,1,2022
2,spotify:track:6rVCUwfnuYTAsX4P9fIdIu,aespa,Dreams Come True,SM Entertainment,2,3,4,78374,1,2022
3,spotify:track:3LCwQoTrdQgHsGJE5gGVqx,GOT the beat,Step Back,SM Entertainment,3,13,2,77905,1,2022
4,spotify:track:2eLe81VDUQ5f0xFfc9cMWz,sokodomo /  Zion.T /  Wonstein,MERRY-GO-ROUND (Feat. Zion.T /  Wonstein) (Prod. Slom),Genie Music Corporation,1,2,9,74599,1,2022
5,spotify:track:1nH2PkJL1XoUq8oE6tBZoU,The Weeknd,Sacrifice,XO / Republic Records,5,-1,1,67386,1,2022
1,spotify:track:186NCtNk1tUYS7c2DxgJ7O,V,Christmas Tree,MOST CONTENTS,1,1,7,70489,2,2022
2,spotify:track:3LCwQoTrdQgHsGJE5gGVqx,GOT the beat,Step Back,SM Entertainment,2,2,6,67733,2,2022
3,spotify:track:7n2FZQsaLb7ZRfRPfEeIvr,IVE,ELEVEN,STARSHIP Entertainment,1,3,11,61618,2,2022
4,spotify:track:4zCIxSnVWpGNghERX4uWZF,YENA /  BIBI,SMILEY(Feat. BIBI),"Genie Music Corporation, Stone Music Entertainment",4,6,4,61001,2,2022
5,spotify:track:6rVCUwfnuYTAsX4P9fIdIu,aespa,Dreams Come True,SM Entertainment,1,4,8,58706,2,2022
1,spotify:track:7rXcCpIAoOUCydkVDMcoPV,TAEYEON,INVU,SM Entertainment,1,1,4,93210,3,2022
2,spotify:track:3gFcGnU4kTdMYLXDjH1TK8,STAYC,RUN2U,High Up Entertainment,2,2,3,78565,3,2022
3,spotify:track:4zCIxSnVWpGNghERX4uWZF,YENA /  BIBI,SMILEY(Feat. BIBI),"Genie Music Corporation, Stone Music Entertainment",3,5,8,59212,3,2022
4,spotify:track:7CAdT0HdiQNlt1C7xk2hep,Jung Kook,Stay Alive (Prod. SUGA of BTS),BIGHIT MUSIC,1,3,4,58504,3,2022
5,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,6,35,55947,3,2022
1,spotify:track:3TSLqZssCoCdDlMhCJ08XW,BIGBANG,Still Life,YG Entertainment,1,-1,1,358676,4,2022
2,spotify:track:0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,TOMBOY,Cube Entertainment,1,2,4,162568,4,2022
3,spotify:track:2oBMZYteeO8DyXV9gDx6Za,Red Velvet,Feel My Rhythm,SM Entertainment,1,1,3,161305,4,2022
4,spotify:track:5quFr5s5PXYfUX5jV2EBZ1,Jay Park /  IU,GANADARA (Feat. IU),MORE VISION,1,3,4,98770,4,2022
5,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,STARSHIP Entertainment,5,-1,1,95918,4,2022
1,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,STARSHIP Entertainment,1,1,6,150045,5,2022
2,spotify:track:5oH4DQAuu1J1800RzUsBWa,PSY /  SUGA,That That (prod.&feat. SUGA of BTS),P NATION,2,4,2,133813,5,2022
3,spotify:track:296nXCOv97WJNRWzIBQnoj,LE SSERAFIM,FEARLESS,SOURCE MUSIC,3,17,2,119684,5,2022
4,spotify:track:3TSLqZssCoCdDlMhCJ08XW,BIGBANG,Still Life,YG Entertainment,1,2,6,111319,5,2022
5,spotify:track:0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,TOMBOY,Cube Entertainment,1,5,9,110613,5,2022
1,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,STARSHIP Entertainment,1,1,10,123795,6,2022
2,spotify:track:0HsRZwZzHoZ5AM5W2ZYI5c,BIG Naughty /  10CM,Beyond Love (Feat. 10CM),H1GHR MUSIC RECORDS,2,3,8,105625,6,2022
3,spotify:track:296nXCOv97WJNRWzIBQnoj,LE SSERAFIM,FEARLESS,SOURCE MUSIC,2,2,6,102852,6,2022
4,spotify:track:0O6u0VJ46W86TxN9wgyqDj,Post Malone /  Doja Cat,I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,4,-1,1,100983,6,2022
5,spotify:track:0lr8HEEQBvIpDE9xGchTgW,Lim Young Woong,If We Ever Meet Again,물고기뮤직,5,9,5,97637,6,2022
1,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth /  Jung Kook /  BTS,Left and Right (Feat. Jung Kook of BTS),Atlantic Records,1,1,2,188140,7,2022
