rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:6hgoYQDUcPyCz7LcTUHKxa,Rema,Calm Down,Mavin Records / Jonzing World,1,-1,1,314130,1,2022
2,spotify:track:7d1aTQlsHMgWmkPywDi7h1,Asake /  Olamide,Omo Ope (feat. Olamide),Asake Music,2,-1,1,127069,1,2022
3,spotify:track:79P1sxrpp1phhTgF1gkaI8,Bnxn /  Blaq Diamond,Italy (feat. Blaq Diamond),To Your Ears Entertainment,3,-1,1,95578,1,2022
4,spotify:track:4lDghGd035xrzGp6Yec2j1,Skiibii /  Davido,Baddest Boy - Remix,"More Grace Entertainment, Distributed by Dvpper",4,-1,1,93390,1,2022
5,spotify:track:6PojTTCNlz3qo3qBKuUyaO,Mayorkun /  Victony,Holy Father,SM Entertainment West Africa Limited,5,-1,1,86308,1,2022
1,spotify:track:6hgoYQDUcPyCz7LcTUHKxa,Rema,Calm Down,Mavin Records / Jonzing World,1,1,2,184887,2,2022
2,spotify:track:7d1aTQlsHMgWmkPywDi7h1,Asake /  Olamide,Omo Ope (feat. Olamide),Asake Music,2,2,2,154328,2,2022
3,spotify:track:4lDghGd035xrzGp6Yec2j1,Skiibii /  Davido,Baddest Boy - Remix,"More Grace Entertainment, Distributed by Dvpper",3,4,2,94736,2,2022
4,spotify:track:79P1sxrpp1phhTgF1gkaI8,Bnxn /  Blaq Diamond,Italy (feat. Blaq Diamond),To Your Ears Entertainment,3,3,2,90410,2,2022
5,spotify:track:2jZ2MrAk8iNZk1dsI0Vr5z,Timaya /  Bnxn,Cold Outside,DM Records Limited,5,7,2,79621,2,2022
1,spotify:track:3UqcIgObI7zZk8e7nvqmfc,Pheelz /  Bnxn,Finesse,Warner Records,1,3,2,396447,3,2022
2,spotify:track:7d1aTQlsHMgWmkPywDi7h1,Asake /  Olamide,Omo Ope (feat. Olamide),Asake Music,2,2,4,146852,3,2022
3,spotify:track:6hgoYQDUcPyCz7LcTUHKxa,Rema,Calm Down,Mavin Records / Jonzing World,1,1,4,145915,3,2022
4,spotify:track:6tTeRmhhuwDl5Y4UiJdHuO,Omah Lay /  Justin Bieber,attention (with Justin Bieber),KeyQaad/Sire Records,4,-1,1,114845,3,2022
5,spotify:track:4lDghGd035xrzGp6Yec2j1,Skiibii /  Davido,Baddest Boy - Remix,"More Grace Entertainment, Distributed by Dvpper",3,5,4,100921,3,2022
1,spotify:track:7pXNFEzqeZB8rIbcFtYTop,Black Sherif,Kwaku the Traveller,Blacko Management / EMPIRE,1,-1,1,286699,4,2022
2,spotify:track:4Gasn91fsCefnN8zM5GjA8,Pheelz /  Bnxn,Finesse,Warner Records,1,1,6,142320,4,2022
3,spotify:track:7d1aTQlsHMgWmkPywDi7h1,Asake /  Olamide,Omo Ope (feat. Olamide),Asake Music,2,4,8,114054,4,2022
4,spotify:track:5FtWjKVBTMklN2yCP9UhF6,Asake /  Burna Boy,Sungba (feat. Burna Boy) - Remix,YBNL 2022,4,7,2,113345,4,2022
5,spotify:track:3BnDvpeuGOj21Ir2aVEtQo,Rema,Calm Down,Mavin Records / Jonzing World,1,2,8,108791,4,2022
1,spotify:track:4eZZofkV1OQ9GDqAgHqNpA,Kizz Daniel /  Tekno,Buga (Lo Lo Lo),FlyBoy INC / EMPIRE,1,73,2,273807,5,2022
2,spotify:track:4Gasn91fsCefnN8zM5GjA8,Pheelz /  Bnxn,Finesse,Warner Records,1,1,11,113914,5,2022
3,spotify:track:6lXOGwFzCglrPMtuysPIUo,Victony,Kolomental,VICTONY/KVLT,3,10,3,107080,5,2022
4,spotify:track:5FtWjKVBTMklN2yCP9UhF6,Asake /  Burna Boy,Sungba (feat. Burna Boy) - Remix,YBNL 2022,2,2,7,102674,5,2022
5,spotify:track:2IBrgYf3Hjw16c6oNwkZ9M,Young Jonn /  Davido,Dada (feat. Davido) [Remix],Chocolate City Music,5,6,2,98796,5,2022
1,spotify:track:2SaRkvUkzNzL39fBB2hLpt,SPINALL /  Asake,PALAZZO,TheCAPMusic,1,1,4,179831,6,2022
2,spotify:track:2PDgArI0p7UkeYgXWuqpmh,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,1,2,4,172395,6,2022
3,spotify:track:4lVEVXrlQlXPdYWMGTwrFe,Mavins /  Crayon /  Ayra Starr /  LADIPOE /  Magixx /  Boy Spyce,Overloading (OVERDOSE),Mavin Records,3,3,4,157093,6,2022
4,spotify:track:4eZZofkV1OQ9GDqAgHqNpA,Kizz Daniel /  Tekno,Buga (Lo Lo Lo),FlyBoy INC / EMPIRE,1,4,6,133923,6,2022
5,spotify:track:6othjWxN6khdhiLu9GdOtj,Zinoleesky,Loving You,Marlian Music,4,5,4,108958,6,2022
1,spotify:track:1mJFFeluclL38IwV264lm9,Asake,Peace Be Unto You (PBUY),YBNL / EMPIRE,1,1,4,234781,7,2022
2,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,1,3,8,175354,7,2022
3,spotify:track:4lVEVXrlQlXPdYWMGTwrFe,Mavins /  Crayon /  Ayra Starr /  LADIPOE /  Magixx /  Boy Spyce,Overloading (OVERDOSE),Mavin Records,2,2,8,158246,7,2022
4,spotify:track:2SaRkvUkzNzL39fBB2hLpt,SPINALL /  Asake,PALAZZO,TheCAPMusic,1,4,8,150962,7,2022
5,spotify:track:4MzOppXoeKvDsVaNMeOK3C,Ruger,Girlfriend,Promised Land Recordings,5,7,3,124542,7,2022
1,spotify:track:2qWwuCVeMjF9mUT0S5Iqvl,Fireboy DML /  Asake,Bandana,YBNL Nation / EMPIRE,1,1,5,299942,8,2022
2,spotify:track:6459gZKddpOoPIH8PAcCwS,Fireboy DML,All Of Us (Ashawo),YBNL Nation / EMPIRE,2,-1,1,179463,8,2022
3,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,1,3,13,174330,8,2022
4,spotify:track:4A7sSA10D35HQUNrSOl5Zo,JAE5 /  Dave /  Bnxn,Propeller (feat. Dave & BNXN),Black Butter,2,2,3,158274,8,2022
5,spotify:track:5hVjoL3sHepZROri63wBxP,Burna Boy,It's Plenty,Spaceship/ Bad Habit/Atlantic Records,2,4,5,157954,8,2022
1,spotify:track:5ycsqezujKrwviU3VFhci1,Asake,Terminator,YBNL Nation / EMPIRE,1,1,3,318437,9,2022
2,spotify:track:2qWwuCVeMjF9mUT0S5Iqvl,Fireboy DML /  Asake,Bandana,YBNL Nation / EMPIRE,1,2,9,217519,9,2022
3,spotify:track:6ewsOjbC1jWAZcjAhVxDs0,Asake,Peace Be Unto You (PBUY),YBNL Nation / EMPIRE,1,12,13,212641,9,2022
4,spotify:track:6McBvfxgkVfREmQPwTKBUn,Pheelz /  Davido,Electricity,Warner Records,3,3,3,186459,9,2022
5,spotify:track:2WigMwGJysIh9fRnSJvpjn,Oxlade,KU LO SA - A COLORS SHOW,Troniq Inc,5,8,13,154298,9,2022
1,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,Asake,Joha,YBNL Nation / EMPIRE,1,3,6,247011,10,2022
2,spotify:track:5ycsqezujKrwviU3VFhci1,Asake,Terminator,YBNL Nation / EMPIRE,1,2,8,246550,10,2022
3,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,Ayra Starr,Rush,Mavin Records,1,1,4,232401,10,2022
4,spotify:track:2wgvxtggKVzPkl0smF2UzI,Asake,Organise,YBNL Nation / EMPIRE,1,4,6,219486,10,2022
5,spotify:track:2qWwuCVeMjF9mUT0S5Iqvl,Fireboy DML /  Asake,Bandana,YBNL Nation / EMPIRE,1,5,14,195906,10,2022
1,spotify:track:5F4OfeowSReF93KcH2eUcG,Young Jonn,Xtra Cool,Chocolate City Music,1,2,7,272015,11,2022
2,spotify:track:0u2A4QNAMUyfQbgfVR3HvK,Kizz Daniel /  EMPIRE,Cough (Odo),EMPIRE,1,3,4,204258,11,2022
3,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,Asake,Joha,YBNL Nation / EMPIRE,1,4,10,202800,11,2022
4,spotify:track:3nIj7jkWVKKmmKPdhgrddu,Wizkid,Money & Love,Starboy/RCA Records,1,1,2,194722,11,2022
5,spotify:track:5ycsqezujKrwviU3VFhci1,Asake,Terminator,YBNL Nation / EMPIRE,1,5,12,189940,11,2022
1,spotify:track:3dQBUVzA9qw3iUOfzRla8T,Mavins /  Rema /  Boy Spyce /  Crayon /  Bayanni /  Magixx /  LADIPOE /  Ayra Starr /  Johnny Drille,Won Da Mo,Mavin Records,1,4,5,270692,12,2022
2,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,Ruger,Asiwaju,Promised Land Recordings,2,3,4,242833,12,2022
