rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0Nx44mzVtTyNnUypzRlu53","JVG, Ege Zulu, Costi","Verkkareis (feat. Ege Zulu, Costi)","WM Finland",1,-1,1,"567897"
2,"spotify:track:0hR9rAzfwW8EuutTXdSzuF","Ramses II","Villieläin","WM Finland",1,1,12,"543755"
3,"spotify:track:3UTyIQpogsEpo9IIY5wLS5","JVG","Amatimies","WM Finland",1,2,10,"523523"
4,"spotify:track:2u4aD9hjuT1UHDsmHVEOjr","Isac Elliot, william, Cledos","20min","Universal Music Oy",1,3,4,"514045"
5,"spotify:track:22KSKT3mCbSiG4RT20ogxB","Gettomasa, Van Hegen","Shamppanjadieetillä","PME Records",4,4,6,"487996"
6,"spotify:track:7dbbNqmww8vd8cPSvBs52o","Portion Boys, Teflon Brothers","Nautin elämästä","Sony Music Entertainment Finland",5,5,3,"414686"
7,"spotify:track:5e7XVJJcGbecTB9N4asFsu","El Migu","Erilainen","Sony Music Entertainment Finland",1,6,7,"390633"
8,"spotify:track:6mkIVmVRwXYKjgf5h2c8E2","Aitoarttu","Kylmää","Löyly-Viihde",8,-1,1,"316580"
9,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",6,13,6,"289470"
10,"spotify:track:0JbfBxlJxSqjbI9vbzi4Vn","Joe L, william","Käytöstapoi (feat. william)","Sony Music Entertainment Finland",3,9,7,"270069"
11,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,11,14,"259759"
12,"spotify:track:4BdiKWwWtDZ3TA339ZgZnI","Antti Tuisku, BESS","GRINDR MAYHEM (feat. BESS)","WM Finland",6,10,3,"255702"
13,"spotify:track:55qPuI6NekVyNPM6kh5DN4","BESS","Ram pam pam","Universal Music Oy",1,8,25,"246410"
14,"spotify:track:67A13FUQH1vp3jmjwJKsA5","Olli Halonen","Suomen kesä","WM Finland",7,7,9,"241444"
15,"spotify:track:2BDjNlf0ukH4Jy6JWnI8L1","JVG, Gasellit, Gracias, Juno, Kube, Paperi T, Stepa, Särre","Mun tapa pelata (feat. Gasellit, Gracias, Juno, Kube, Paperi T, Stepa, Särre)","WM Finland",15,-1,1,"237187"
16,"spotify:track:1SllLQv2tfIlgtYXO5edRM","T Swoop","Mon Ami","Sony Music Entertainment Finland",2,15,15,"222445"
17,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",14,14,10,"212087"
18,"spotify:track:6r2pEYTnXsJ405pzUSvGxR","Arttu Wiskari","Elämän kova koulu","WM Finland",18,-1,1,"205395"
19,"spotify:track:2ykXJ9QVwx9Li8nsW0h6b2","INNA, Sean Paul","UP","WM Poland/WMI",16,16,12,"203836"
20,"spotify:track:6hXmqUGzA9caEH5F9vAPGe","Cledos, Fabe","Mis oot ollu (feat. Fabe)","WM Finland",8,17,3,"200860"
21,"spotify:track:5EhaUNWw48KNkAHnjPUUZl","Teflon Brothers, Märkä-Simo, Juice Leskinen","EESTI (On my Mind)","Universal Music Oy",8,12,5,"193281"
22,"spotify:track:3TC6Z4oLl3AYL1Vd7PtDr4","Pihlaja, Etta","Bändäri","Sony Music Entertainment Finland",1,21,15,"184692"
23,"spotify:track:4wNAkYHSouNrsMIZLzTibv","SANNI","Tyhmä","WM Finland",7,26,5,"184195"
24,"spotify:track:6XIZElq1WBJHYWtv9v8YYV","Mikael Gabriel, Juha Tapio","Kompassi","Universal Music Oy",12,22,3,"182920"
25,"spotify:track:4nPf3a74YvdiZT9L9ILMly","Fabe","WYD","Sony Music Entertainment Finland",10,19,8,"178194"
26,"spotify:track:0lPrY8sXUen0bqga0BIeWa","KUUMAA","Tulipalo","Universal Music Oy",26,-1,1,"175755"
27,"spotify:track:6TsLJhggpJxIdeNF7I7bbx","Nebi, Gettomasa","KiMi","EIFFEL",6,30,7,"174082"
28,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music",14,28,4,"167555"
29,"spotify:track:4N84bVnNycTXiuoKZFEXrD","Portion Boys, Matti ja Teppo","Vauhti kiihtyy (feat. Matti ja Teppo)","Sony Music Entertainment Finland",1,18,56,"167374"
30,"spotify:track:48GrbwydcMUFPfKrSeq6K0","Sexmane","40K","Sony Music Entertainment Finland",9,36,11,"166516"
31,"spotify:track:4PvlDeYk2aAk2dZATFxBWO","Nebi","GoDdAmN","EIFFEL",31,40,3,"163749"
32,"spotify:track:6YFcvJlcgQceRfJrVpmJa0","Olli Halonen","Pohjola","WM Finland",1,23,57,"161593"
33,"spotify:track:66ZiW1fgTaWZINhOLyDeLo","Gettomasa","500 Hevosta","PME Records",1,34,11,"160946"
34,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",9,20,8,"156683"
35,"spotify:track:7ozJ4D8Cy4DtoFRmoRZFVJ","Joalin","Angelito","2022 11 Ones",35,44,3,"153502"
36,"spotify:track:0QO1QnI4tOXLwtgXQmVqPA","Portion Boys","Kyläbaari","Sony Music Entertainment Finland",12,24,70,"152250"
37,"spotify:track:3Cem1dtq0bNVYQNqz9h0BY","Ed Sheeran, Ellinoora","2step (feat. Ellinoora)","Atlantic Records UK",2,31,10,"150382"
38,"spotify:track:0nRssz1xxPRC6B22k5lG06","MD$, Sexmane, B.Baby","Nonstop (feat. Sexmane & B.Baby)","Poetic Pain Records",13,35,7,"150246"
39,"spotify:track:7ffZ0iPT1UQvgm4e1KsaDC","Portion Boys","Elämän ABC","Sony Music Entertainment Finland",3,25,16,"147034"
40,"spotify:track:3yGXUI2VY7HMpJpiIerO3H","Evelina","Sydän sulaa","Universal Music Oy",11,37,6,"140952"
41,"spotify:track:6BjYoI5TKTYEEZntqd13Ft","Madboiali, Stafa","Sääntöi (feat. Stafa)","WM Finland",11,39,6,"138183"
42,"spotify:track:4J8fwjBs0k3KGHVMRJXgOV","ALMA","Everything Beautiful","Epic Local",42,-1,1,"138009"
43,"spotify:track:0510Z3QobhS1qOFEybAVaY","Gasellit","Pakko relaa ennen kun mä delaan","Sony Music Entertainment Finland",7,33,8,"137933"
44,"spotify:track:1RCQAeceDgtbD7WVLWr05S","Haloo Helsinki!","Reiviluola","Vallila Music House",2,38,43,"136330"
45,"spotify:track:1TN6MFzUFHXARl6eVzbtyf","Faija","Milla Magia","WM Finland",45,-1,1,"136259"
46,"spotify:track:4qkchijBTUVzbQt9jbPv9k","Kris Winther, SuperJonny, Rapposaurus Rex, LamboLaz","Blitzkrieg 2022","Winther Records",41,41,3,"134913"
47,"spotify:track:2uK2ecojfgD1HjSveRgie4","JVG","Viikonloppu","WM Finland",7,42,10,"128383"
48,"spotify:track:2AdhIZdTeCulvMd9DVOVZ5","JVG, Raappana","Kran Turismo (feat. Raappana)","WM Finland",7,32,58,"128379"
49,"spotify:track:4Q7NePRrh6S0WzKMz8CbCA","Pariisin Kevät","Kesäyö","Columbia",19,27,43,"122288"
50,"spotify:track:5vx35J4nbvNc4bVqn3Ja7F","Anna Puu","Juokse Beibi Juokse","WM Finland",50,-1,1,"120455"
51,"spotify:track:4oVIW1MqBVKpUF8tnBd0ML","Karim B, Joe L","Panamera (feat. Joe L)","Sony Music Entertainment Finland",51,-1,1,"111364"
52,"spotify:track:3Y7r2Cb5ynmMR18O0yJUM5","JVG","Vamos","WM Finland",1,43,26,"108038"
53,"spotify:track:09dpPdXG538Wc1YcOf7tlb","Stepa, Gettomasa","Päivä elämässä","PME Records",53,-1,1,"107996"
54,"spotify:track:4GHoKJmv2uC3VaTVwgrX7E","Olavi Uusivirta","Älä päästä mua menemään","Johanna Kustannus Oy",54,-1,1,"103886"
