rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1dBroK67DSaaEE5kvkVjzG","Keung To","作品的說話","Music Nation Records Co Ltd.",1,2,2,"307021"
2,"spotify:track:11IqNbLOD4s4nVYSuEttFR","Keung To","Dear My Friend,","Music Nation Records Co. Ltd.",1,1,40,"253217"
3,"spotify:track:4umaD9GJDZMihD9mal7vd1","Keung To","鏡中鏡","Music Nation Records Co. Ltd.",3,3,19,"223975"
4,"spotify:track:6flgMTTqhbJSNryAPCYcvA","陳卓賢 Ian","留一天與你喘息","Music Nation Records Co. Ltd.",1,4,13,"197233"
5,"spotify:track:1ZrnCyms7CBYsCvkkVIkt8","MC 張天賦","記憶棉","WM Hong Kong",1,5,29,"187364"
6,"spotify:track:3U1sSlezn9BdzqsEx4VfHT","MC 張天賦","小心地滑","WM Hong Kong",1,6,5,"171960"
7,"spotify:track:2pFkBa11TZLwI4t4uzIWdi","陳卓賢 Ian","Got U","Music Nation Records Co. Ltd.",7,120,2,"165851"
8,"spotify:track:2P5Eeh29qJrYa1T27cdL3B","MC 張天賦","反對無效","WM Hong Kong",2,7,49,"146408"
9,"spotify:track:4pnqbvjkdoIKUzmfr1bUho","Anson Lo 盧瀚霆","Mr. Stranger","Music Nation Records Co Ltd.",5,14,11,"142537"
10,"spotify:track:33bb4ipPqbeTdZLOAix27Z","Anson Lo 盧瀚霆","Megahit","Music Nation Records Co. Ltd.",4,10,34,"142470"
11,"spotify:track:4c9hHw1PUYXHfKFASXo8H0","Terence Lam","某種老朋友","Terence Lam Production & Co.",1,13,13,"126776"
12,"spotify:track:72OVnXDzugvrCU25lMi9au","WeiBird","如果可以 - 電影""月老""主題曲","Sony Music Entertainment",4,12,23,"124353"
13,"spotify:track:7xE3HkKaZFhtzrt2FiwNOd","Keung To","Master Class","Music Nation Records Co. Ltd.",4,9,59,"119558"
14,"spotify:track:1TC1xwWe4QVFlx6cPGWOaH","MIRROR","Innerspace","Music Nation Records Co Ltd.",8,8,3,"118085"
15,"spotify:track:5tHHZJbJgs6zQmvqewePEf","Jer 柳應廷","離別的規矩","Music Nation Records Co Ltd.",11,11,4,"118067"
16,"spotify:track:433FK3gktWwmjkAPMSqVNO","MC 張天賦","時候不早","WM Hong Kong",2,15,22,"117204"
17,"spotify:track:1r0AJpxFzqFvptMlsHu3Bp","Edan 呂爵安","Elevator","Music Nation Records Co. Ltd.",13,17,6,"99801"
18,"spotify:track:2MKENhpdJ8egUGHl6EWG5F","COLLAR","Never-never Land","Music Nation Records Co. Ltd.",3,16,8,"97889"
19,"spotify:track:6zeblz6qaURo2JphS7XeFz","Edan 呂爵安, Feng Ze","一表人才","Music Nation Records Co. Ltd.",2,20,25,"96744"
20,"spotify:track:4LRPiXqCikLlN15c3yImP7","Harry Styles","As It Was","Columbia",16,19,6,"96008"
21,"spotify:track:3F16iie73VyKgN63z6YyZH","COLLAR","Gotta Go!","Music Nation Records Co. Ltd.",21,27,2,"95669"
