rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:41lOxc6ARYZPXpKeMWcHsD","Pinguini Tattici Nucleari","Islanda","Epic",1,2,4,"3215979"
2,"spotify:track:2L16IuIQgLL1HupWGN4F4t","Cesare Cremonini","Ora che non ho più te","Universal Music Italia srL.",1,1,12,"2478827"
3,"spotify:track:2O8jjjtyEfXliQ6vdtdPvH","Papa V, Nerissima Serpe, Fritu","Tip Tap","UNIKAL",3,10,2,"2415241"
4,"spotify:track:4X4R6qsIicxIQIFbnDcJLO","Olly, JVLI","Scarabocchi","Epic",4,6,7,"2313403"
5,"spotify:track:1QcmAp6Ev2HuYxKujUwnw0","Alfa","il filo rosso","Artist First",2,7,8,"2235027"
6,"spotify:track:5nFyfjGy6AMZqkW0OMUWJJ","Olly, Angelina Mango, JVLI","Per due come noi","Epic",1,3,14,"2140414"
7,"spotify:track:79wDKThuLEgiQwJ0onVs3s","Tony Boy, Shiva","Perdono (feat. Shiva)","Warner Music",7,-1,1,"2085884"
8,"spotify:track:2gI2IA7QGtzKZKuahon3W1","Achille Lauro","Amore Disperato","Warner Music",5,5,12,"2007278"
9,"spotify:track:3yFgWoossjlaJ919XDCG4C","Simba La Rue, FT Kings, Sick Luke","MI PIACCIONO LE ARMI","Warner Music",1,4,8,"1988457"
10,"spotify:track:0CCWIksRK4Q3um834dNG3a","Pinguini Tattici Nucleari","Romantico Ma Muori","Epic",7,18,13,"1787976"
11,"spotify:track:3OewdIjWctx4TH6jswXRrc","Pinguini Tattici Nucleari","Amaro","Epic",11,-1,1,"1702894"
12,"spotify:track:3XOcMFFT6Oo2ZCXLJ9lqdT","Geolier, Rose Villain, Poison Beatz","TU ED IO (feat. Rose Villain)","Warner Music",8,8,3,"1583948"
13,"spotify:track:0HiHVL8iC1Z1kAjV6vZdIo","Tony Boy, Frah Quintale, Capo Plaza","Non mi basta mai (feat. Frah Quintale, Capo Plaza)","Warner Music",13,-1,1,"1574170"
14,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",3,28,44,"1535420"
15,"spotify:track:5MJc4IVIt17xEt6angtZcq","Lazza","BUIO DAVANTI","Universal Music Italia srL.",8,9,12,"1503624"
16,"spotify:track:7heTgNdtbRD4n0Vg8rGYXo","Lele Blade, Geolier, Dele, Poison Beatz","HEETS (feat. Geolier)","Warner Music",5,11,7,"1497622"
17,"spotify:track:1VhrzhdZxQybGPmGXZeVwI","Tony Boy, Kid Yugi","Nn so se (feat. Kid Yugi)","Warner Music",17,-1,1,"1472690"
18,"spotify:track:7sj9VfVtmcEZBDbRAsVXWY","ANNA, Niky Savage","TT LE GIRLZ (feat. Niky Savage)","Universal Music Italia srL.",1,12,24,"1466035"
19,"spotify:track:2FRnf9qhLbvw8fu4IBXx78","Wham!","Last Christmas","Epic",5,33,39,"1419883"
20,"spotify:track:1GVDt0vn0wJ1QemPfMEWTU","Ghali","Niente Panico","Warner Music",16,17,9,"1338648"
21,"spotify:track:1ej2NcW0CHnscPp1RZpr1V","Olly, JVLI","Devastante","Epic",9,20,40,"1317898"
22,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",22,22,8,"1288920"
23,"spotify:track:2EBlqIr8yZLUqTiWtB9Tgo","Tony Boy","Stanza","Warner Music",23,-1,1,"1281733"
24,"spotify:track:1IkzT4wzFJRbFOmKOSqTen","Geolier, Takagi & Ketra, Dat Boi Dee","EPISODIO D'AMORE","Warner Music",7,14,27,"1261179"
25,"spotify:track:5z1XCZMzScqeqCe4iUh3WA","Tony Boy","Tutti i giorni","Warner Music",25,-1,1,"1256678"
26,"spotify:track:3o9OeBX0vgh51r15Ta7Dok","CoCo, Geolier, Startuffo, D-Ross","Video hot (feat. Geolier)","Warner Music",15,15,5,"1245727"
27,"spotify:track:51iEIwv8ttEA4i0vPVoDLu","Tony Boy","Segnali di fumo","Warner Music",27,-1,1,"1220177"
28,"spotify:track:5hvVUrV2RDNOLre6a5bGhF","Tony Boy, Artie 5ive","Per te lascio il party (feat. Artie 5ive)","Warner Music",28,-1,1,"1218488"
29,"spotify:track:0y25WRQSOEPfooF2n822BG","Tony Boy","In automatico","Warner Music",29,-1,1,"1176778"
30,"spotify:track:75Y6WgUldQN8mipAVLy8KJ","Olly, JVLI","Quei ricordi là","Epic",19,29,7,"1175469"
31,"spotify:track:1xiCaiy7CFnymZvf80ZKBk","Pinguini Tattici Nucleari","Burnout","Epic",31,-1,1,"1141636"
32,"spotify:track:1nLGeFQuY7PFxrou3ezEvP","Sal Da Vinci","Rossetto e caffè","Cose Production srl",10,19,22,"1137004"
33,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",21,24,17,"1136256"
34,"spotify:track:2fgOUiGsgelBOjH8ZTSJHs","Tony Boy, ANNA","Codeine (feat. ANNA)","Warner Music",34,-1,1,"1132984"
35,"spotify:track:4h2ZxFz4acPlkoom2BuBeC","Tony Boy","Bnb life","Warner Music",35,-1,1,"1116376"
36,"spotify:track:347HJzwbn0cmrxJUmAXj5c","Geolier, Dardust","MAI PER SEMPRE","Warner Music",9,13,4,"1101408"
37,"spotify:track:6T0QOCB2vNIBHlw5OZiyah","Tony Boy","Il tempo cura","Warner Music",10,-1,14,"1090019"
38,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",5,21,24,"1083833"
39,"spotify:track:2EjXfH91m7f8HiJN1yQg97","Brenda Lee","Rockin' Around The Christmas Tree","MCA Nashville",8,60,26,"1061390"
40,"spotify:track:4ZRVI6xwgbjgW5SgJB468n","ANNA, Artie 5ive","I LOVE IT (feat. Artie 5ive)","Universal Music Italia srL.",3,26,24,"1050690"
41,"spotify:track:0rDIjhe1IQJhh3oPDxZJMg","Pinguini Tattici Nucleari","Your Dog","Epic",41,-1,1,"1044100"
42,"spotify:track:6OCnAtM8oa0JymErlTYXxG","Astro, ANNA","1 MOMENTO (feat. ANNA)","Warner Music",6,23,10,"1041055"
43,"spotify:track:7vQbuQcyTflfCIOu3Uzzya","Bobby Helms","Jingle Bell Rock","Geffen",10,81,26,"1037324"
44,"spotify:track:19DHPlTC2gx1j4jrFzNbwL","ANNA","30ºC","Universal Music Italia srL.",1,34,28,"1029767"
45,"spotify:track:00URgxWgyVoybGLhhmKr7g","Baby Gang, Omega, Higashi, Roberto Ferrante","Tu Me Quieres - Prod. by Higashi x Roberto Ferrante","Baby Gang / Planet Records [Powered by Planet Distribution]",23,27,13,"1016469"
46,"spotify:track:0U2mw5WWH5LmeqHl59uWUh","Simba La Rue, FT Kings","VRP","Warner Music",24,35,11,"1011786"
47,"spotify:track:4NvS5pdDVE3O387xaAeoaI","Pinguini Tattici Nucleari","Nevica","Epic",47,-1,1,"1010015"
48,"spotify:track:4S0T9IecDcsFhotcazr91a","Pinguini Tattici Nucleari","Migliore","Epic",48,-1,1,"1007318"
49,"spotify:track:6s67ZfGsYCd0rsAKtLXCiC","Pinguini Tattici Nucleari","Per Non Sentire La Fine Del Mondo","Epic",49,-1,1,"996624"
50,"spotify:track:6MQYhSIrh9vwztmM6mwkzQ","Kid Yugi, Night Skinny, Artie 5ive","Porto il Commerciale (feat. Artie 5ive)","Universal Music Italia srL.",49,50,36,"945809"
51,"spotify:track:5HWWpSsNnlc2Kyh5QLrq1W","Tananai","RAGNI","Universal Music Italia srL.",16,16,14,"940634"
52,"spotify:track:5eUqIQCxlZ20Xa02G6NH2Z","Tony Boy","Fare presto","Warner Music",52,-1,1,"931287"
53,"spotify:track:1rv46mRwDqMEhOBZ7vODg3","Michael Bublé","It's Beginning to Look a Lot like Christmas","Reprise",10,88,32,"924329"
54,"spotify:track:0mEyPi2ya8h8632gp9XmmQ","Night Skinny, Tony Boy, Kid Yugi, Capo Plaza","Entro nel posto (feat. Tony Boy, Kid Yugi & Capo Plaza)","Universal Music Italia srL.",1,65,9,"897189"
55,"spotify:track:3zjwZqLebYTDvRS2RJH5Be","ANNA, Sillyelly","HELLO KITTY (feat. Sillyelly)","Universal Music Italia srL.",15,36,24,"891371"
56,"spotify:track:3EJSUFQGUaTm4Km2Zri1Zp","JVLI, Emma, Olly","HO VOGLIA DI TE","Universal Music Italia srL.",15,42,26,"880634"
57,"spotify:track:2ceJa7d62wQ3eRBK589ALG","Shiva, Kid Yugi","Gotham (feat. Kid Yugi)","Milano Ovest",2,31,14,"852597"
58,"spotify:track:0oML5GDT7pEQHvcR9WvcOf","Tony Boy","Leanin'","Warner Music",38,-1,25,"851967"
59,"spotify:track:2hbgKf0dzTaNeNBibyQi4I","Tony Boy","Total black","Warner Music",59,-1,1,"851466"
60,"spotify:track:4c7ivA53eKj5NwZFM3Xyqz","Pinguini Tattici Nucleari","Piccola Volpe","Epic",60,-1,1,"837150"
61,"spotify:track:7uoFMmxln0GPXQ0AcCBXRq","Sia","Snowman","Monkey Puzzle/Atlantic",15,105,25,"828046"
62,"spotify:track:30yZdVYOfemHG7uuntz7HH","ANNA","TONIGHT","Universal Music Italia srL.",30,46,24,"827614"
63,"spotify:track:5LDmD4cFF0C8BCf3tVvyBW","Tedua, Annalisa","Beatrice (feat. Annalisa)","Epic",1,37,29,"822037"
64,"spotify:track:1oBM9JTuD0wqfVQ8iuLjLQ","Artie 5ive, Ddusi, Sadturs, KIID","64 BARRE IN FACCIA (Red Bull 64 Bars)","Warner Music",45,45,14,"812597"
65,"spotify:track:50ZNspJj40Kgo3sUSwnRqU","Pinguini Tattici Nucleari","Hello World","Epic",65,-1,1,"811574"
66,"spotify:track:4HgXFQJOvCbL9Kppk2vmOY","Tony Boy","Fino all'alba","Warner Music",66,-1,1,"801320"
67,"spotify:track:7BeZyW4hVjeCocSLwDrCME","Geolier, Michelangelo","I P’ ME, TU P’ TE","Warner Music",1,53,45,"799980"
68,"spotify:track:5JgTIfS7FfSE9tuebzX8HC","Night Skinny, Nerissima Serpe, Papa V","Tessera sanitaria (feat. Nerissima Serpe & Papa V)","Universal Music Italia srL.",7,59,9,"799373"
69,"spotify:track:1A1xTBtNnJ09JNINiLjdOK","Ultimo","ALTROVE","Ultimo Records",19,43,31,"796732"
70,"spotify:track:1zp4TEQ9zaNGXTjY6fsz1p","Capo Plaza, ANNA","Soldi Arrotolati (feat. ANNA)","Warner Music",5,49,32,"792596"
