rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:1nH2PkJL1XoUq8oE6tBZoU,The Weeknd,Sacrifice,XO / Republic Records,1,-1,1,8743544,1,2022
2,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán /  Mauro Castillo /  Adassa /  Rhenzy Feliz /  Diane Guerrero /  Stephanie Beatriz /  Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,1,1,3,8721760,1,2022
3,spotify:track:3KyKxJ4P3pVCgaZwaq2rUC,The Weeknd,Gasoline,XO / Republic Records,3,-1,1,6843953,1,2022
4,spotify:track:2SLwbpExuoBDZBpjfefCtV,The Weeknd,Out of Time,XO / Republic Records,4,-1,1,6705491,1,2022
5,spotify:track:0mL82sxCRjrs3br407IdJh,The Weeknd,Is There Someone Else?,XO / Republic Records,5,-1,1,6683755,1,2022
1,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán /  Mauro Castillo /  Adassa /  Rhenzy Feliz /  Diane Guerrero /  Stephanie Beatriz /  Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,1,1,7,9415374,2,2022
2,spotify:track:3XOalgusokruzA5ZBA2Qcb,Gunna /  Future /  Young Thug,pushin P (feat. Young Thug),300 Entertainment,2,2,5,6929519,2,2022
3,spotify:track:2bBClS4zzrRd4Aj59NaKSv,Kodak Black,Super Gremlin,Atlantic Records,3,3,11,6805093,2,2022
4,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,2,5,63,6735018,2,2022
5,spotify:track:42Xba467wgGvYrR2EE6s0i,Juice WRLD,Cigarettes,Grade A Productions/Interscope Records,5,194,2,6152688,2,2022
1,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,2,67,6564890,3,2022
2,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán /  Mauro Castillo /  Adassa /  Rhenzy Feliz /  Diane Guerrero /  Stephanie Beatriz /  Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,1,1,11,5994244,3,2022
3,spotify:track:1Y5Jvi3eLi4Chwqch9GMem,Kodak Black,Super Gremlin,Atlantic Records,3,3,15,5641381,3,2022
4,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,5,35,4788815,3,2022
5,spotify:track:3XOalgusokruzA5ZBA2Qcb,Gunna /  Future /  Young Thug,pushin P (feat. Young Thug),300 Entertainment,2,4,9,4582099,3,2022
1,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,Generation Now/Atlantic,1,-1,1,24422351,4,2022
2,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,2,17060280,4,2022
3,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,2,72,6245871,4,2022
4,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,Lil Nas X /  Jack Harlow,INDUSTRY BABY (feat. Jack Harlow),Columbia,1,4,38,4790002,4,2022
5,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI /  Justin Bieber,STAY (with Justin Bieber),Columbia,1,3,40,4374687,4,2022
1,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,1,2,5,11935617,5,2022
2,spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,-1,1,11593667,5,2022
3,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,6,11415536,5,2022
4,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,-1,1,10109435,5,2022
5,spotify:track:1dm6z1fWB0cErMszU25dy2,Bad Bunny,Después de la Playa,Rimas Entertainment LLC,5,-1,1,10074903,5,2022
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,3,2,15292889,6,2022
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,10,12238857,6,2022
