rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,year
1,spotify:track:2dTQe0W5KXs6TNVV7yi2oS,Young Stunna /  Kabza De Small /  DJ Maphorisa,Adiwele (feat. Kabza De Small & DJ Maphorisa),Piano Hub,1,2,12,193990,1,2022
2,spotify:track:6F70m9aMK4PSJKBfp1H8DZ,Kabza De Small /  DJ Maphorisa /  Ami Faku,Asibe Happy,Piano Hub,1,1,8,189859,1,2022
3,spotify:track:7jeXFt3u9o8PveE4CHSOs0,Busta 929 /  Boohle,Ngixolele,Umsebenzi Wethu Records,1,3,10,183698,1,2022
4,spotify:track:7JtWy2vvKVXLaymyTXUJ0K,Ch'cco /  Mellow & Sleazy,Nkao Tempela,R1+0 CARTEL,4,4,8,155825,1,2022
5,spotify:track:2qxgejJTaZIHNSHDD22Uhl,Kabza De Small /  DJ Maphorisa /  Ami Faku,Abalele,Piano Hub,1,6,16,150084,1,2022
1,spotify:track:7BH6nyhnWTSfMUwwrCYbJF,Q-Mark /  TpZee /  Afriikan Papi,Paris,Cloud9ne Entertainment,1,1,9,154379,2,2022
2,spotify:track:03GRsjCSytQo3LuspJayKT,9umba /  TOSS /  Mdoovar /  Lady Du /  Sino Msolo /  Sir Trill /  Slade /  Young Stunna,uMlando (feat. Sir Trill /  Sino Msolo /  Lady Du /  Young Stunna and Slade),Sowetocool,2,2,4,134903,2,2022
3,spotify:track:584B5N5x0phtVVpBtSNcPt,Wanitwa Mos /  Master KG /  Basetsana /  Nkosazana Daughter /  Obeey Amor,Dali Nguwe (feat. Nkosazana Daughter /  Basetsana and Obeey Amor),Wanitwa Mos Entertainment,3,3,8,131192,2,2022
4,spotify:track:6F70m9aMK4PSJKBfp1H8DZ,Kabza De Small /  DJ Maphorisa /  Ami Faku,Asibe Happy,Piano Hub,1,5,13,111478,2,2022
5,spotify:track:7jeXFt3u9o8PveE4CHSOs0,Busta 929 /  Boohle,Ngixolele,Umsebenzi Wethu Records,1,4,15,110855,2,2022
1,spotify:track:7BH6nyhnWTSfMUwwrCYbJF,Q-Mark /  TpZee /  Afriikan Papi,Paris,Cloud9ne Entertainment,1,1,13,152768,3,2022
2,spotify:track:584B5N5x0phtVVpBtSNcPt,Wanitwa Mos /  Master KG /  Basetsana /  Nkosazana Daughter /  Obeey Amor,Dali Nguwe (feat. Nkosazana Daughter /  Basetsana and Obeey Amor),Wanitwa Mos Entertainment,2,3,12,133945,3,2022
3,spotify:track:03GRsjCSytQo3LuspJayKT,9umba /  TOSS /  Mdoovar /  Lady Du /  Sino Msolo /  Sir Trill /  Slade /  Young Stunna,uMlando (feat. Sir Trill /  Sino Msolo /  Lady Du /  Young Stunna and Slade),Sowetocool,2,4,8,130803,3,2022
4,spotify:track:0Fts0ctd6WoZPjffe6VlCD,Venom /  Shishiliza /  Yumbs /  Raspy /  Blxckie /  Riky Rick /  Tshego,Sondela (feat. Yumbs /  Raspy /  Blxckie /  Riky Rick & Tshego),Sound African Recordings,2,2,4,127912,3,2022
5,spotify:track:7c5rKCDYYbyBsLlJ00NgCD,DBN Gogo /  TNK MusiQ /  DJ Stopper /  EltonK,Bells,Universal Music (Pty) Ltd.,5,-1,1,108188,3,2022
1,spotify:track:0Ek5bneviajgSzZGonWfds,Daliwonga /  Mellow & Sleazy /  M.J,Abo Mvelo (feat. Mellow & Sleazy & M.J),New Money Gang Records,1,1,3,171308,4,2022
2,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,2,-1,1,148344,4,2022
3,spotify:track:7BH6nyhnWTSfMUwwrCYbJF,Q-Mark /  TpZee /  Afriikan Papi,Paris,Cloud9ne Entertainment,1,2,17,133511,4,2022
4,spotify:track:584B5N5x0phtVVpBtSNcPt,Wanitwa Mos /  Master KG /  Basetsana /  Nkosazana Daughter /  Obeey Amor,Dali Nguwe (feat. Nkosazana Daughter /  Basetsana and Obeey Amor),Wanitwa Mos Entertainment,2,3,16,127107,4,2022
5,spotify:track:03GRsjCSytQo3LuspJayKT,9umba /  TOSS /  Mdoovar /  Lady Du /  Sino Msolo /  Sir Trill /  Slade /  Young Stunna,uMlando (feat. Sir Trill /  Sino Msolo /  Lady Du /  Young Stunna and Slade),Sowetocool,2,4,12,113751,4,2022
1,spotify:track:5MMW4CZsZiZt2iuqAXzzWC,Kendrick Lamar,The Heart Part 5,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,1,-1,1,144637,5,2022
2,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,2,5,5,142482,5,2022
3,spotify:track:5z6oqX6l6kTSPB9gSRnLzE,Uncle Waffles /  Tony Duardo /  BoiBizza /  Sino Msolo,Tanzania (feat. Sino Msolo and Boibizza),Kreativekornerr,1,1,8,133298,5,2022
4,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,4,6,132865,5,2022
5,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Future /  Drake /  Tems,WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,2,2,2,124386,5,2022
1,spotify:track:67SKXlAbYNG5nAtadBfPm0,Wanitwa Mos /  Master KG /  Lowsheen /  Nkosazana Daughter,Sofa Silahlane (feat. Nkosazana Daughter),Wanitwa Mos Entertainment,1,1,4,158569,6,2022
2,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Future /  Drake /  Tems,WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,2,3,6,141072,6,2022
3,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,3,15,2,137730,6,2022
4,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,2,10,131980,6,2022
5,spotify:track:5z6oqX6l6kTSPB9gSRnLzE,Uncle Waffles /  Tony Duardo /  BoiBizza /  Sino Msolo,Tanzania (feat. Sino Msolo and Boibizza),Kreativekornerr,1,4,12,119547,6,2022
1,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Future /  Drake /  Tems,WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,1,3,10,121254,7,2022
2,spotify:track:67SKXlAbYNG5nAtadBfPm0,Wanitwa Mos /  Master KG /  Lowsheen /  Nkosazana Daughter,Sofa Silahlane (feat. Nkosazana Daughter),Wanitwa Mos Entertainment,1,4,8,118701,7,2022
3,spotify:track:5dVd3tBZQhOctXiq2jwrhD,Samthing Soweto,Amagents,Youbuntu,1,1,2,116489,7,2022
4,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Drake /  21 Savage,Jimmy Cooks (feat. 21 Savage),OVO,1,2,3,116223,7,2022
5,spotify:track:75VD2d6BPTuESBrzRqD6xl,Senior Oat /  Kemy Chienda,All In You,LiftedSoul Entertainment,5,6,13,113102,7,2022
1,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,1,1,13,160161,8,2022
2,spotify:track:59nOXPmaKlBfGMDeOVGrIK,Future /  Drake /  Tems,WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,1,3,15,127720,8,2022
3,spotify:track:3PdO57q0KLWkfWXsXQJlV6,Mas Musiq /  Aymos /  Young Stunna,Sengizwile (feat. Aymos & Young Stunna),New Money Gang Records,3,17,14,109230,8,2022
4,spotify:track:75VD2d6BPTuESBrzRqD6xl,Senior Oat /  Kemy Chienda,All In You,LiftedSoul Entertainment,3,7,18,109013,8,2022
5,spotify:track:67SKXlAbYNG5nAtadBfPm0,Wanitwa Mos /  Master KG /  Lowsheen /  Nkosazana Daughter,Sofa Silahlane (feat. Nkosazana Daughter),Wanitwa Mos Entertainment,1,5,13,108016,8,2022
1,spotify:track:5mXZz0tXIToxu3HRohrdSK,K.O /  Young Stunna /  Blxckie,SETE (feat. Young Stunna & Blxckie),Sound African Recordings,1,1,3,395773,9,2022
2,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,2,3,25,186040,9,2022
3,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,1,4,17,169385,9,2022
4,spotify:track:2sOj9vyd6yiss9W1IK6chU,DJ Khaled /  Rick Ross /  Lil Wayne /  JAY-Z /  John Legend /  Fridayy,GOD DID (feat. Rick Ross /  Lil Wayne /  Jay-Z /  John Legend & Fridayy),Epic/We The Best,2,2,2,140728,9,2022
5,spotify:track:3PdO57q0KLWkfWXsXQJlV6,Mas Musiq /  Aymos /  Young Stunna,Sengizwile (feat. Aymos & Young Stunna),New Money Gang Records,3,5,18,133517,9,2022
1,spotify:track:65NAMIdsZkxYIM5ui8SJSw,K.O /  Young Stunna /  Blxckie,SETE (feat. Young Stunna & Blxckie),Sound African Recordings,1,1,7,363925,10,2022
2,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith /  Kim Petras,Unholy (feat. Kim Petras),Capitol Records UK / EMI,2,3,2,217614,10,2022
3,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,1,2,21,192426,10,2022
4,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,2,4,29,189841,10,2022
5,spotify:track:1hsFJ92y0FU2cFOOLkEFVr,Deep London /  Boohle,Hamba Wena,Cycad Wave,5,7,6,168385,10,2022
1,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake /  21 Savage,Rich Flex,OVO / Republic Records,1,-1,1,430343,11,2022
2,spotify:track:46s57QULU02Voy0Kup6UEb,Drake /  21 Savage,Major Distribution,OVO / Republic Records,2,-1,1,322404,11,2022
3,spotify:track:34tz0eDhGuFErIuW3q4mPX,Drake /  21 Savage,On BS,OVO / Republic Records,3,-1,1,307257,11,2022
4,spotify:track:65NAMIdsZkxYIM5ui8SJSw,K.O /  Young Stunna /  Blxckie,SETE (feat. Young Stunna & Blxckie),Sound African Recordings,1,2,12,267591,11,2022
5,spotify:track:2KLwPaRDOB87XOYAT2fgxh,Drake /  21 Savage /  Travis Scott,Pussy & Millions (feat. Travis Scott),OVO / Republic Records,5,-1,1,267098,11,2022
1,spotify:track:65NAMIdsZkxYIM5ui8SJSw,K.O /  Young Stunna /  Blxckie,SETE (feat. Young Stunna & Blxckie),Sound African Recordings,1,1,16,248308,12,2022
2,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin /  The Weeknd /  21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,2,-1,1,242935,12,2022
3,spotify:track:1y5eHXBYiLgNv00KoHXm4o,Soa Mattrix /  Mashudu /  Happy Jazzman /  Emotionz DJ,Mina Nawe,Soa Music Group,3,3,8,226830,12,2022
4,spotify:track:2KWbBP2ddjo6t5aMOJeItK,Myztro /  ShaunMusiq & Ftears,Tobetsa,New Money Gang Records,2,2,4,221370,12,2022
5,spotify:track:4lOujgdHEUyFThYND4EmlQ,DJ Maphorisa /  Visca /  2woshort /  Stompiiey /  ShaunMusiq & Ftears /  Madumane,Ba Straata (feat. 2woshort /  Stompiiey /  Shaunmusiq & Ftears & Madumane),New Money Gang Records,4,5,8,209127,12,2022
1,spotify:track:1y5eHXBYiLgNv00KoHXm4o,Soa Mattrix /  Mashudu /  Happy Jazzman /  Emotionz DJ,Mina Nawe,Soa Music Group,1,3,13,212259,1,2023
2,spotify:track:7yJ5UfiXvtePhopnvxyXOV,Big Nuz /  Dj Yamza,Ngeke,Afrotainment,1,1,7,205645,1,2023
3,spotify:track:65NAMIdsZkxYIM5ui8SJSw,K.O /  Young Stunna /  Blxckie,SETE (feat. Young Stunna & Blxckie),Sound African Recordings,1,2,21,182255,1,2023
4,spotify:track:58u8z6ia8GTm9yZlkmtCtV,Aymos /  Ami Faku,Fatela,Lyf Styl Entertainment,4,6,8,176731,1,2023
5,spotify:track:0AY3sNqV7qAdAZ8j6TRVBd,2Point1 /  Ntate Stunna /  Nthabi Sings,Stimela,Penya Play Productions,5,11,3,176025,1,2023
1,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,4,282070,2,2023
2,spotify:track:1y5eHXBYiLgNv00KoHXm4o,Soa Mattrix /  Mashudu /  Happy Jazzman /  Emotionz DJ,Mina Nawe,Soa Music Group,1,2,17,250814,2,2023
3,spotify:track:0AY3sNqV7qAdAZ8j6TRVBd,2Point1 /  Ntate Stunna /  Nthabi Sings,Stimela,Penya Play Productions,3,4,7,247067,2,2023
4,spotify:track:58u8z6ia8GTm9yZlkmtCtV,Aymos /  Ami Faku,Fatela,Lyf Styl Entertainment,3,5,12,213849,2,2023
5,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,People,5K Records Limited,5,14,8,190639,2,2023
1,spotify:track:51fIDcNGiIp7pxHCCN5QaL,Tyler ICU /  Khanyisa /  Tumelo_za /  Tyrone Dee,NGIMOJA (feat. Khanyisa /  Tumelo_za & Tyrondee),New Money Gang Records,1,4,3,284689,3,2023
2,spotify:track:0AY3sNqV7qAdAZ8j6TRVBd,2Point1 /  Ntate Stunna /  Nthabi Sings,Stimela,Penya Play Productions,2,5,11,265436,3,2023
3,spotify:track:1nYOtsnFaAUQOZndulgzNb,AKA /  KDDO,Company,Sound African Recordings,1,1,3,236147,3,2023
4,spotify:track:58u8z6ia8GTm9yZlkmtCtV,Aymos /  Ami Faku,Fatela,Lyf Styl Entertainment,3,9,16,231343,3,2023
5,spotify:track:4aAxUQUNTtBhDgDcyCfXUu,Pcee /  Sgija'Disciples /  Zan'Ten /  Justin99 /  Mema_Percent /  Mr JazziQ,Kilimanjaro (feat. Justin99 /  Mema_Percent & Mr JazziQ),Sound African Recordings,5,15,3,230790,3,2023
1,spotify:track:7cICJP7hsjo6e7JZgvNLiO,Inkabi Zezwe /  Sjava /  Big Zulu,Umbayimbayi,Warner Music Africa,1,1,2,515708,4,2023
2,spotify:track:0AY3sNqV7qAdAZ8j6TRVBd,2Point1 /  Ntate Stunna /  Nthabi Sings,Stimela,Penya Play Productions,1,2,15,319526,4,2023
3,spotify:track:2qp7rTcFVz67fz88JSnbkU,Uncle Waffles /  Tony Duardo /  Justin99 /  Pcee /  EeQue /  Chley,Yahyuppiyah (feat. Pcee /  EeQue & Chley),Encore Recordings,3,-1,1,286196,4,2023
4,spotify:track:1y5eHXBYiLgNv00KoHXm4o,Soa Mattrix /  Mashudu /  Happy Jazzman /  Emotionz DJ,Mina Nawe,Soa Music Group,1,6,25,275677,4,2023
5,spotify:track:1SB1UdyYs3DMyzHVxZg0QE,ShaunMusiq & Ftears /  Xduppy /  Myztro /  Mellow & Sleazy /  QuayR Musiq /  Matute Boy,Bhebha (feat. Myztro /  Mellow & Sleazy /  QuayR Musiq & Matuteboy),Sound African Recordings,3,3,4,258537,4,2023
1,spotify:track:5tpft20jhQvRlG3O7XfwWy,Tyler ICU /  Tumelo_za /  DJ Maphorisa /  Nandipha808 /  Ceeka RSA /  Tyrone Dee,Mnike (feat. DJ Maphorisa /  Nandipha808 /  Ceeka RSA & Tyron Dee),New Money Gang Records,1,2,2,506940,5,2023
2,spotify:track:4k5FlWz3dfhyQzmRpVPZsW,Lady Amar /  JL SA /  Cici /  Murumba Pitch,Hamba Juba,Lea Records,1,1,12,387960,5,2023
3,spotify:track:7cICJP7hsjo6e7JZgvNLiO,Inkabi Zezwe /  Sjava /  Big Zulu,Umbayimbayi,Warner Music Africa,1,3,7,261549,5,2023
4,spotify:track:0AY3sNqV7qAdAZ8j6TRVBd,2Point1 /  Ntate Stunna /  Nthabi Sings,Stimela,Penya Play Productions,1,5,20,236908,5,2023
5,spotify:track:1y5eHXBYiLgNv00KoHXm4o,Soa Mattrix /  Mashudu /  Happy Jazzman /  Emotionz DJ,Mina Nawe,Soa Music Group,1,7,30,201572,5,2023
